START_SCL_FEATURES {'scl_records': 198, 'already_done': 0}
SCL_FEATURE_OK 1 S2A_MSIL2A_20200102T153611_N0500_R068_T18NUJ_20230426T115242 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUJ/S2A_MSIL2A_20200102T153611_N0500_R068_T18NUJ_20230426T115242.parquet
SCL_FEATURE_OK 2 S2B_MSIL2A_20200107T153619_N0500_R068_T18NUK_20230516T042122 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUK/S2B_MSIL2A_20200107T153619_N0500_R068_T18NUK_20230516T042122.parquet
SCL_FEATURE_OK 3 S2B_MSIL2A_20200107T153619_N0500_R068_T18NUJ_20230516T042122 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUJ/S2B_MSIL2A_20200107T153619_N0500_R068_T18NUJ_20230516T042122.parquet
SCL_FEATURE_OK 4 S2A_MSIL2A_20200112T153611_N0500_R068_T18NUK_20230429T094928 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUK/S2A_MSIL2A_20200112T153611_N0500_R068_T18NUK_20230429T094928.parquet
SCL_FEATURE_OK 5 S2A_MSIL2A_20200112T153611_N0500_R068_T18NUJ_20230429T094928 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUJ/S2A_MSIL2A_20200112T153611_N0500_R068_T18NUJ_20230429T094928.parquet
SCL_FEATURE_OK 6 S2B_MSIL2A_20200117T153619_N0500_R068_T18NUK_20230424T234703 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUK/S2B_MSIL2A_20200117T153619_N0500_R068_T18NUK_20230424T234703.parquet
SCL_FEATURE_OK 7 S2B_MSIL2A_20200117T153619_N0500_R068_T18NUJ_20230424T234703 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUJ/S2B_MSIL2A_20200117T153619_N0500_R068_T18NUJ_20230424T234703.parquet
SCL_FEATURE_OK 8 S2B_MSIL2A_20200127T153609_N0500_R068_T18NUJ_20230428T045725 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=01/tile=MGRS-18NUJ/S2B_MSIL2A_20200127T153609_N0500_R068_T18NUJ_20230428T045725.parquet
SCL_FEATURE_OK 9 S2A_MSIL2A_20200201T153611_N0500_R068_T18NUJ_20230426T195929 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=02/tile=MGRS-18NUJ/S2A_MSIL2A_20200201T153611_N0500_R068_T18NUJ_20230426T195929.parquet
SCL_FEATURE_OK 10 S2B_MSIL2A_20200206T153619_N0500_R068_T18NUK_20230427T073701 -> /workspace/geovision-cali/outputs/sentinel2_scl_features_parts_20m/year=2020/month=02/tile=MGRS-18NUK/S2B_MSIL2A_20200206T153619_N0500_R068_T18NUK_20230427T073701.parquet
