contaminante,estacion,fecha_min,fecha_max,n_registros,n_validos,n_nulos,media,mediana,minimo,maximo,fuente_principal,pct_validos,pct_nulos
NO2,Base Aerea,2020-01-01 01:00:00,2023-12-09 23:00:00,13423,0,13423,,,,,api_panel,0.0,100.0
NO2,Canaveralejo,2020-01-01 00:00:00,2022-12-06 23:00:00,12200,0,12200,,,,,api_panel,0.0,100.0
NO2,Compartir,2020-01-01 00:00:00,2022-12-31 23:00:00,14788,0,14788,,,,,api_panel,0.0,100.0
NO2,ERA - Obrero,2020-01-01 00:00:00,2022-12-31 23:00:00,14460,0,14460,,,,,api_panel,0.0,100.0
NO2,Ermita,2020-01-01 00:00:00,2022-12-10 23:00:00,13528,0,13528,,,,,api_panel,0.0,100.0
NO2,Flora,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,0,43848,,,,,svcasc_excel_2020_2025,0.0,100.0
NO2,Pance,2020-01-01 00:00:00,2022-12-09 23:00:00,15084,0,15084,,,,,api_panel,0.0,100.0
NO2,TRANSITORIA-NAVARRO,2020-01-02 00:00:00,2022-12-10 23:00:00,7162,0,7162,,,,,api_panel,0.0,100.0
NO2,Univalle,2020-01-01 01:00:00,2024-12-31 23:00:00,43847,26259,17588,14.058131214117255,12.14743759537716,0.0,91.85794528392788,svcasc_excel_2020_2025,59.88779163910872,40.11220836089128
O3,Base Aerea,2020-01-01 01:00:00,2024-12-31 23:00:00,43847,29093,14754,20.982615045310848,12.02601361706342,0.0,193.0440032494356,svcasc_excel_2020_2025,66.35117567906585,33.64882432093416
O3,Canaveralejo,2020-01-01 00:00:00,2022-12-06 23:00:00,12200,0,12200,,,,,api_panel,0.0,100.0
O3,Compartir,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,35056,8792,31.52348802338213,18.08806615812801,0.4708390323156965,165.460683272941,svcasc_excel_2020_2025,79.94891443167305,20.051085568326947
O3,ERA - Obrero,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,26535,17313,19.491117663078853,9.338307474261315,0.0,290.409591473719,svcasc_excel_2020_2025,60.51587301587302,39.48412698412698
O3,Ermita,2020-01-01 00:00:00,2022-12-10 23:00:00,13528,0,13528,,,,,api_panel,0.0,100.0
O3,Flora,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,24327,19521,21.4966524523624,7.21953182884068,0.0,266.1809996024738,svcasc_excel_2020_2025,55.48029556650246,44.51970443349754
O3,Pance,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,36340,7508,35.50085480266623,19.36325520398302,0.0,207.365357149038,svcasc_excel_2020_2025,82.87721218755702,17.122787812442986
O3,TRANSITORIA-NAVARRO,2020-01-02 00:00:00,2022-12-10 23:00:00,7408,4384,3024,24.36123325729927,14.18,0.0,179.0169,api_panel,59.1792656587473,40.8207343412527
O3,Transitoria - Navarro,2020-01-01 01:00:00,2024-12-31 23:00:00,43847,1556,42291,29.4253465655921,14.664674027332635,0.4904573253288506,167.5794589183616,svcasc_excel_2020_2025,3.548703446073848,96.45129655392616
O3,Univalle,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,33966,9882,37.15620253497647,19.55943813411456,0.0,232.8691380661383,svcasc_excel_2020_2025,77.46305418719211,22.536945812807883
SO2,Base Aerea,2020-01-01 01:00:00,2024-12-31 23:00:00,43847,23067,20780,7.344887447965017,6.126837419792262,0.0,77.92080410812724,svcasc_excel_2020_2025,52.60793212762561,47.39206787237439
SO2,Canaveralejo,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,32923,10925,2.059473062676299,1.099688767655022,0.0,186.5543445129054,svcasc_excel_2020_2025,75.08438241196862,24.91561758803138
SO2,Compartir,2020-01-01 00:00:00,2022-12-31 23:00:00,14788,0,14788,,,,,api_panel,0.0,100.0
SO2,ERA - Obrero,2020-01-01 00:00:00,2022-12-31 23:00:00,14460,0,14460,,,,,api_panel,0.0,100.0
SO2,Ermita,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,36920,6928,5.203524836619352,3.141967907585775,0.0,479.0191905773481,svcasc_excel_2020_2025,84.19996351030834,15.800036489691662
SO2,Flora,2020-01-01 00:00:00,2024-12-31 23:00:00,43848,24391,19457,11.113539596677098,2.173194469413495,0.0,841.9688500352983,svcasc_excel_2020_2025,55.62625433315088,44.37374566684912
SO2,Pance,2020-01-01 00:00:00,2022-12-09 23:00:00,15084,0,15084,,,,,api_panel,0.0,100.0
SO2,TRANSITORIA-NAVARRO,2020-01-02 00:00:00,2022-12-10 23:00:00,7261,3396,3865,7.168325,6.73,1.13,32.9645,api_panel,46.770417297892855,53.229582702107145
SO2,Transitoria - Navarro,2020-01-01 01:00:00,2024-12-31 23:00:00,43847,11718,32129,4.414697737898791,2.984869512206486,0.0,519.4196612557218,svcasc_excel_2020_2025,26.724747417155108,73.2752525828449
SO2,Univalle,2020-01-01 12:00:00,2023-12-04 23:00:00,13905,0,13905,,,,,api_panel,0.0,100.0
