date,s2_n_grids_available_day,s2_cloud_pct_mean,s2_valid_pixel_pct_mean,s2_ndvi_mean,s2_bsi_mean,s2_ndbi_mean,s2_urban_index_mean
2020-01-02,1978,44.11,92.97194,0.23768185,-0.05803738,-0.08667906,-0.07235822
2020-01-07,1953,35.82671786994368,94.43405,0.29100335,-0.06293937,-0.097746015,-0.08034269
2020-01-12,1959,46.891421643695764,92.77682,0.25172123,-0.056426417,-0.08470114,-0.070563786
2020-01-17,2000,10.6365,99.24613,0.33098385,-0.044817545,-0.07801072,-0.06141413
2020-01-27,1877,55.16,89.95584,0.22042672,-0.06471881,-0.09010548,-0.07741214
2020-02-01,1958,48.94,94.66552,0.23085397,-0.05893997,-0.08418424,-0.0715621
2020-02-06,1999,10.823406703351676,98.46114,0.3310954,-0.05237281,-0.08927391,-0.070823364
2020-02-11,1999,16.707036018009003,97.03054,0.28266966,-0.05072628,-0.08227021,-0.06649824
2020-02-16,1990,32.79776381909547,95.45345,0.2510648,-0.04738091,-0.07065284,-0.059016876
2020-03-02,1961,51.1,91.046036,0.19698234,-0.060949326,-0.08190958,-0.07142945
2020-03-22,2000,5.8345,99.86398,0.35491532,-0.043770775,-0.08495935,-0.06436507
2020-04-26,1963,37.86,94.05655,0.2672752,-0.070475005,-0.102519006,-0.08649701
2020-05-21,1981,58.02,93.476006,0.21761163,-0.067569226,-0.09274335,-0.08015629
2020-06-15,1932,49.88991200828157,93.71227,0.17481807,-0.06808955,-0.08682934,-0.07745945
2020-07-15,1993,30.54117160060211,97.31699,0.28841424,-0.066010594,-0.0998302,-0.0829204
2020-08-09,2000,19.07,98.7512,0.31109494,-0.026883157,-0.06268957,-0.044786364
2020-08-24,1980,54.1,94.76058,0.19384894,-0.044389,-0.06116387,-0.052776434
2020-09-03,2000,17.7195,99.93772,0.3202647,-0.03745546,-0.0661952,-0.05182533
2020-09-13,1958,40.21,94.206215,0.23619965,-0.042351857,-0.061293874,-0.051822864
2020-09-28,195,59.78,93.17918,0.25361198,-0.032325733,-0.05791738,-0.045121554
2020-10-08,1989,49.41,97.47084,0.23456244,-0.028640661,-0.05224613,-0.040443398
2020-10-18,1952,53.76,94.37352,0.25472397,-0.040119343,-0.07364384,-0.056881588
2020-10-23,1966,54.33,92.776,0.21303165,-0.051608592,-0.070809886,-0.061209243
2020-11-07,1912,39.629999999999995,85.227,0.20809582,-0.07084017,-0.097933166,-0.08438668
2021-01-16,1956,46.34479038854805,93.512054,0.2738912,-0.07338881,-0.1086712,-0.09103
2021-01-31,1993,19.00548921224285,96.18334,0.2591635,-0.058854572,-0.08552107,-0.072187826
2021-02-20,1710,56.53,77.887764,0.17632027,-0.08737721,-0.118075594,-0.10272641
2021-05-01,1999,47.805287643821906,99.35042,0.34636134,-0.072650045,-0.116992325,-0.09482119
2021-05-21,1995,53.76,96.71277,0.32857117,-0.07466845,-0.10891179,-0.091790125
2021-06-15,188,59.14999999999999,85.54869,0.08962419,-0.12227829,-0.19327839,-0.15777834
2021-07-05,1989,51.778014077425844,98.1172,0.27332833,-0.06492437,-0.10683169,-0.08587803
2021-07-15,1966,57.44,95.675285,0.293867,-0.05642033,-0.0909038,-0.073662065
2021-07-20,2000,20.8240075,98.92971,0.34317642,-0.054486535,-0.09080122,-0.072643876
2021-07-30,182,50.300000000000004,85.0605,0.22526175,-0.07283112,-0.10319785,-0.08801449
2021-08-04,2000,48.981,99.9995,0.27590123,-0.068578236,-0.11839995,-0.093489096
2021-09-03,1970,36.590578680203045,94.25147,0.2611218,-0.040881306,-0.06674104,-0.053811178
2021-09-13,2000,35.4315,96.86477,0.25479355,-0.048341732,-0.07573443,-0.062038083
2021-09-18,1997,52.71,99.06511,0.22037473,-0.07377644,-0.111881696,-0.09282907
2021-10-03,1988,32.26,97.256424,0.30600876,-0.04375074,-0.07506849,-0.059409615
2021-10-08,1984,54.83,95.325714,0.26128268,-0.048793722,-0.072804,-0.06079886
2021-10-13,2000,31.961297499999997,97.918884,0.22851738,-0.037461642,-0.0587213,-0.04809147
2021-10-18,1982,49.32,95.01075,0.22558263,-0.06495781,-0.08820961,-0.076583706
2021-10-28,1996,43.63,97.34459,0.2656509,-0.050872903,-0.078217395,-0.064545155
2021-11-02,1995,43.993759398496245,94.28393,0.24203429,-0.054477803,-0.08002059,-0.0672492
2021-11-07,1945,48.25,94.60171,0.2678194,-0.06251299,-0.09070791,-0.076610446
2021-11-27,1983,57.9421583459405,90.55771,0.19745998,-0.0731305,-0.103591874,-0.088361196
2021-12-02,1996,38.05592685370742,94.00277,0.2458144,-0.055706542,-0.08345277,-0.06957966
2022-01-16,1981,33.584291,95.857185,0.28303352,-0.069122516,-0.09804253,-0.08358253
2022-02-20,197,36.333635,89.2054,0.22350296,-0.054476347,-0.08428925,-0.0693828
2022-04-06,1994,47.20625125376128,95.68437,0.19716585,-0.05194168,-0.06782793,-0.05988481
2022-04-21,1997,56.42,95.65715,0.21905833,-0.06050887,-0.08688401,-0.073696434
2022-04-26,1942,59.1,93.398605,0.21958475,-0.07269613,-0.09568732,-0.084191725
2022-05-11,1995,44.820058,98.069626,0.29812977,-0.054409683,-0.08898483,-0.07169726
2022-06-05,2000,38.365933,98.58901,0.27460715,-0.0678696,-0.09717845,-0.08252403
2022-06-15,1952,50.522631,94.40133,0.25835595,-0.07175769,-0.10279101,-0.08727436
2022-07-07,2,54.964644,12.268518,0.45015562,-0.007509712,-0.053225532,-0.03036762
2022-07-30,1999,31.346101000000004,99.24821,0.25572968,-0.05268609,-0.07922692,-0.0659565
2022-08-24,2000,14.55466525,99.63172,0.33177832,-0.04451015,-0.07676137,-0.060635757
2022-08-29,122,58.556253000000005,76.14874,0.2700118,-0.060793873,-0.096184365,-0.07848912
2022-09-03,195,27.699068000000004,89.13703,0.19337933,-0.061203923,-0.087316886,-0.074260406
2022-09-08,1973,23.18756510947795,95.93734,0.25264958,-0.028457046,-0.055874646,-0.042165846
2022-09-13,1991,52.62228136489202,94.899605,0.14072624,-0.047827166,-0.05715425,-0.05249071
2022-09-23,2000,17.354423599999997,99.535706,0.29916853,-0.024414325,-0.050284803,-0.037349563
2022-10-03,1993,24.912430122679375,98.23783,0.27853906,-0.031650376,-0.054149084,-0.042899728
2022-12-22,1972,46.589559,94.05495,0.2612634,-0.062029246,-0.09258777,-0.077308506
2023-01-06,1975,56.14,91.90456,0.22471607,-0.065153405,-0.09342004,-0.079286724
2023-01-16,1948,56.0,91.94249,0.2316425,-0.078887306,-0.11022105,-0.09455418
2023-01-26,1951,41.942152742183495,92.39816,0.2715587,-0.057346314,-0.09148081,-0.07441355
2023-02-05,1995,21.675333333333334,97.41159,0.30191138,-0.044147253,-0.07536804,-0.059757646
2023-02-10,1996,48.56953156312625,93.511894,0.23272261,-0.056275822,-0.07832656,-0.06730119
2023-02-25,1907,40.57,91.12496,0.21625555,-0.049366385,-0.07316618,-0.061266277
2023-03-02,1997,45.57,94.70382,0.21691568,-0.045726944,-0.061921485,-0.053824212
2023-03-17,1895,49.97,89.962585,0.19911718,-0.051134776,-0.074081324,-0.06260805
2023-04-01,1951,46.19,89.37234,0.21476732,-0.058298185,-0.07824988,-0.06827403
2023-05-01,1998,50.04674674674675,97.122475,0.28140113,-0.053216167,-0.078680664,-0.06594842
2023-05-11,1978,48.96621840242669,88.28755,0.121433124,-0.060731385,-0.07377845,-0.067254916
2023-05-31,1992,58.67,96.6555,0.2498623,-0.069478914,-0.09892038,-0.084199645
2023-06-10,1958,52.52773748723187,90.11283,0.23868483,-0.07467866,-0.10354475,-0.0891117
2023-06-20,2000,11.48,99.91884,0.33802536,-0.06227502,-0.09957029,-0.080922656
2023-07-10,972,58.41,75.967064,0.17078002,-0.08081765,-0.10859652,-0.09470709
2023-07-15,1988,41.85091046277666,94.55868,0.21954128,-0.062159967,-0.08851324,-0.075336605
2023-07-20,2000,7.803,99.99938,0.35263658,-0.049353395,-0.086728856,-0.06804112
2023-08-04,2000,32.94,99.92962,0.29205835,-0.04570589,-0.085189365,-0.06544762
2023-08-14,180,44.64,86.420204,0.15968773,-0.047010936,-0.07025283,-0.058631882
2023-08-19,1982,55.49149091826438,91.22636,0.21976407,-0.043387126,-0.06343742,-0.05341227
2023-08-29,2000,15.157,99.85976,0.31650564,-0.03550914,-0.06801205,-0.0517606
2023-09-08,1599,57.25999999999999,84.74589,0.1610616,-0.1130348,-0.16273221,-0.1378835
2023-09-13,2000,17.033,99.524666,0.30654338,-0.02382539,-0.054795273,-0.039310332
2023-09-23,2000,29.46,99.69095,0.272471,-0.024327552,-0.05230558,-0.038316566
2023-10-13,1990,36.88,97.16079,0.24908724,-0.047701985,-0.076436356,-0.06206917
2023-10-18,196,50.09,90.755424,0.21999034,-0.07223748,-0.102585435,-0.087411456
2023-10-23,1952,36.775245901639344,94.77851,0.21744484,-0.08938248,-0.14047068,-0.114926584
2023-11-27,1998,19.76372372372372,96.88715,0.28667974,-0.06148854,-0.08965899,-0.075573765
2023-12-07,142,55.08,65.3983,0.16914427,-0.10163599,-0.1327819,-0.117208935
2023-12-12,154,58.49000000000001,42.723118,0.08858099,-0.1742055,-0.30227727,-0.23824137
2024-01-06,1993,28.009799297541395,94.995125,0.2980781,-0.06572982,-0.09756693,-0.08164837
2024-01-11,1951,59.63,88.4713,0.254569,-0.06847386,-0.10013755,-0.0843057
2024-01-16,1999,40.62380940470235,97.09914,0.26489222,-0.064535186,-0.09135686,-0.077946015
2024-01-26,1969,25.977455561198575,95.403854,0.276244,-0.05025991,-0.07893676,-0.06459834
2024-01-31,1948,49.66,94.28108,0.26193038,-0.051786702,-0.08141736,-0.06660203
2024-02-15,2000,14.769,99.65968,0.32277521,-0.049698252,-0.082482845,-0.06609055
2024-02-20,1974,37.88,92.19092,0.25958008,-0.04935627,-0.0806713,-0.06501379
2024-02-25,1996,34.24,97.29261,0.27743417,-0.05904726,-0.09304554,-0.0760464
2024-03-16,1976,24.645976720647777,96.55344,0.2757384,-0.032166436,-0.057674322,-0.044920377
2024-03-26,180,39.94,92.32556,0.23477119,-0.05077488,-0.07314869,-0.06196179
2024-04-05,136,48.68,67.82182,0.09386996,-0.073351115,-0.092959665,-0.08315539
2024-04-10,1995,29.25698245614035,94.57116,0.27312374,-0.044075187,-0.07094484,-0.05751001
2024-04-20,196,41.4,86.37757,0.15560965,-0.052887868,-0.07366933,-0.0632786
2024-04-30,1965,49.62,97.69163,0.3112467,-0.061677966,-0.09653983,-0.0791089
2024-05-30,1997,36.503264897346014,96.807175,0.21256094,-0.06983725,-0.09602003,-0.082928635
2024-06-09,1903,56.58,86.497215,0.19674017,-0.09501999,-0.13122177,-0.11312088
2024-06-24,200,51.47,90.93646,0.19463974,-0.09195768,-0.120050326,-0.10600401
2024-06-29,1987,44.88987921489683,95.90461,0.30106857,-0.07361144,-0.10914679,-0.09137911
2024-07-29,2000,13.9065,99.96561,0.35583717,-0.04744327,-0.08956525,-0.06850426
2024-08-08,1934,54.63793174767322,90.69551,0.20849262,-0.05936111,-0.083488464,-0.07142479
2024-08-13,1913,45.53232618923157,88.69938,0.17177631,-0.058534596,-0.07635555,-0.06744507
2024-08-18,2000,4.3875,99.81926,0.34919366,-0.043656547,-0.08443172,-0.06404413
2024-08-23,1993,38.70974912192674,95.34166,0.23858418,-0.054705974,-0.078806534,-0.066756256
2024-08-28,1999,12.055905452726362,99.321106,0.31138813,-0.030868411,-0.063726336,-0.047297373
2024-09-02,2000,18.8095,99.932755,0.3104371,-0.037729137,-0.07108933,-0.054409232
2024-09-12,1946,32.31,94.1319,0.22788753,-0.03404447,-0.056011766,-0.045028117
2024-09-17,2000,25.3605,99.97034,0.30776206,-0.013582937,-0.052136004,-0.03285947
2024-10-02,1965,50.73549618320611,94.91084,0.24289365,-0.03213252,-0.05639647,-0.044264495
2024-10-12,1996,34.63863977955912,96.504684,0.2773898,-0.03985719,-0.0625412,-0.051199198
2024-10-17,1991,19.767782521346057,97.876,0.28479305,-0.03510125,-0.061627857,-0.048364557
2024-11-06,1995,52.06543609022556,97.80733,0.3350622,-0.058043547,-0.096140034,-0.07709178
2024-12-01,1977,32.91,95.53878,0.28491816,-0.068237275,-0.09876842,-0.083502844
2024-12-11,1996,48.52216432865731,94.69241,0.2571591,-0.066414535,-0.093731865,-0.0800732
2024-12-16,1974,51.82482522796353,91.20819,0.22660829,-0.063707545,-0.091085285,-0.07739642
