columna,dtype,n_nulos,pct_nulos,n_unicos
date,object,0,0.0,129
year,int64,0,0.0,5
month,int64,0,0.0,12
grid_id,object,0,0.0,2000
lat,float64,0,0.0,50
lon,float64,0,0.0,40
bbox,object,0,0.0,2000
source,object,0,0.0,1
s2_cloud_pct,float64,0,0.0,193
s2_valid_pixel_pct,float32,0,0.0,1324
s2_b1_mean,float32,0,0.0,182405
s2_b1_std,float32,0,0.0,225635
s2_b2_mean,float32,0,0.0,181039
s2_b2_std,float32,0,0.0,225581
s2_b3_mean,float32,0,0.0,177681
s2_b3_std,float32,0,0.0,225523
s2_b4_mean,float32,0,0.0,182877
s2_b4_std,float32,0,0.0,225426
s2_b5_mean,float32,0,0.0,180958
s2_b5_std,float32,0,0.0,225502
s2_b6_mean,float32,0,0.0,182246
s2_b6_std,float32,0,0.0,225316
s2_b7_mean,float32,0,0.0,189914
s2_b7_std,float32,0,0.0,225149
s2_b8_mean,float32,0,0.0,189713
s2_b8_std,float32,0,0.0,225185
s2_b8a_mean,float32,0,0.0,191889
s2_b8a_std,float32,0,0.0,225202
s2_b9_mean,float32,0,0.0,195859
s2_b9_std,float32,0,0.0,225320
s2_b11_mean,float32,0,0.0,185027
s2_b11_std,float32,0,0.0,225259
s2_b12_mean,float32,0,0.0,187941
s2_b12_std,float32,0,0.0,225186
ndvi,float32,0,0.0,225222
ndvi_std,float32,0,0.0,224946
bsi,float32,0,0.0,225661
bsi_std,float32,0,0.0,224952
ndbi,float32,0,0.0,225689
ndbi_std,float32,0,0.0,224986
vegetation_fraction,float32,0,0.0,3937
urban_index,float32,0,0.0,225547
