date,s5p_n_tiles_available_day,s5p_no2_mean,s5p_so2_mean,s5p_o3_mean,s5p_no2_available_pct,s5p_so2_available_pct,s5p_o3_available_pct
2020-01-01,1,1.6030024e-06,3.838398e-05,0.1039275,1.0,1.0,1.0
2020-01-02,1,1.5435455e-05,0.0004448488,0.105476424,1.0,1.0,1.0
2020-01-03,1,2.3542352e-05,7.012479e-05,0.10774526,1.0,1.0,1.0
2020-01-04,1,2.8372366e-05,3.6024212e-05,0.10784378,1.0,1.0,1.0
2020-01-05,1,8.954058e-07,5.2704887e-05,0.10682325,1.0,1.0,1.0
2020-01-06,1,1.1667826e-05,0.0001177878,0.107429855,1.0,1.0,1.0
2020-01-07,1,2.1933089e-05,7.755449e-05,0.106122755,1.0,1.0,1.0
2020-01-08,1,4.1897776e-05,0.00017088988,0.108357705,1.0,1.0,1.0
2020-01-09,1,3.203185e-05,-1.1029776e-05,0.10707943,1.0,1.0,1.0
2020-01-10,1,1.2424993e-05,5.7780482e-05,0.1066577,1.0,1.0,1.0
2020-01-11,1,1.4676724e-06,1.9795577e-06,0.106209844,1.0,1.0,1.0
2020-01-12,1,1.5801397e-05,-7.820621e-05,0.10631471,1.0,1.0,1.0
2020-01-13,1,3.1171392e-05,7.2870826e-05,0.10728068,1.0,1.0,1.0
2020-01-14,1,2.699806e-05,0.00022380525,0.10845175,1.0,1.0,1.0
2020-01-15,1,0.0,0.0,0.0,1.0,1.0,1.0
2020-01-16,1,2.6601117e-05,-0.00014020008,0.10735809,1.0,1.0,1.0
2020-01-17,1,3.8052825e-05,-0.00010359165,0.1054654,1.0,1.0,1.0
2020-01-18,1,3.448963e-05,0.00025188545,0.10550283,1.0,1.0,1.0
2020-01-19,1,2.373734e-05,6.7151675e-05,0.105098344,1.0,1.0,1.0
2020-01-20,1,0.0,0.0,0.10593412,1.0,1.0,1.0
2020-01-21,1,0.0,0.0,0.105320536,1.0,1.0,1.0
2020-01-22,1,0.0,0.0,0.10454998,1.0,1.0,1.0
2020-01-23,1,5.113733e-06,7.3361603e-06,0.10532454,1.0,1.0,1.0
2020-01-24,1,0.0,0.0,0.10775759,1.0,1.0,1.0
2020-01-25,1,0.0,0.0,0.10645121,1.0,1.0,1.0
2020-01-26,1,1.1758908e-06,0.00019442617,0.10714613,1.0,1.0,1.0
2020-01-27,1,2.0067407e-06,-1.1684262e-05,0.10718148,1.0,1.0,1.0
2020-01-28,1,1.7187424e-05,-0.00010004248,0.10851974,1.0,1.0,1.0
2020-01-29,1,2.0682264e-05,-9.355924e-06,0.108882606,1.0,1.0,1.0
2020-01-30,1,2.9206278e-05,0.00012943285,0.10982906,1.0,1.0,1.0
2020-01-31,1,0.0,0.0,0.0,1.0,1.0,1.0
2020-02-01,1,7.969946e-06,3.635348e-05,0.10826145,1.0,1.0,1.0
2020-02-02,1,0.0,0.0,0.10713537,1.0,1.0,1.0
2020-02-03,1,1.5694326e-05,3.494438e-05,0.10910721,1.0,1.0,1.0
2020-02-04,1,2.7002416e-05,0.00012846754,0.11024112,1.0,1.0,1.0
2020-02-05,1,2.4667295e-05,0.00011038864,0.109471254,1.0,1.0,1.0
2020-02-06,1,1.0704446e-05,-9.3618255e-05,0.11051557,1.0,1.0,1.0
2020-02-07,1,1.68914e-05,4.5819444e-05,0.110157475,1.0,1.0,1.0
2020-02-08,1,1.0674584e-05,-1.608741e-05,0.11030639,1.0,1.0,1.0
2020-02-09,1,1.3042023e-05,1.1555971e-05,0.10982314,1.0,1.0,1.0
2020-02-10,1,2.1941345e-05,0.00023819684,0.11070284,1.0,1.0,1.0
2020-02-11,1,1.7060773e-05,-1.7685223e-05,0.11147829,1.0,1.0,1.0
2020-02-12,1,2.2788417e-05,-9.412732e-05,0.11225987,1.0,1.0,1.0
2020-02-13,1,3.1327356e-05,-2.3151993e-06,0.11097861,1.0,1.0,1.0
2020-02-14,1,3.2932778e-05,0.0002883759,0.1102689,1.0,1.0,1.0
2020-02-15,1,2.8337188e-05,5.793244e-05,0.11202105,1.0,1.0,1.0
2020-02-16,1,0.0,0.0,0.0,1.0,1.0,1.0
2020-02-17,1,2.1560378e-05,-4.805011e-05,0.11011984,1.0,1.0,1.0
2020-02-18,1,2.6731921e-05,-0.00010393439,0.108810425,1.0,1.0,1.0
2020-02-19,1,0.0,-4.1477847e-06,0.10990105,1.0,1.0,1.0
2020-02-20,1,0.0,0.0,0.10972218,1.0,1.0,1.0
2020-02-21,1,0.0,0.0,0.10975659,1.0,1.0,1.0
2020-02-22,1,0.0,0.0,0.110017635,1.0,1.0,1.0
2020-02-23,1,5.505297e-06,3.8186306e-05,0.10865195,1.0,1.0,1.0
2020-02-24,1,3.181465e-05,-7.628695e-05,0.11088745,1.0,1.0,1.0
2020-02-25,1,6.591002e-06,7.3571995e-05,0.1107581,1.0,1.0,1.0
2020-02-26,1,0.0,0.0,0.11110203,1.0,1.0,1.0
2020-02-27,1,0.0,-5.545346e-06,0.110964894,1.0,1.0,1.0
2020-02-28,1,3.9785778e-06,5.6946737e-05,0.11286606,1.0,1.0,1.0
2020-02-29,1,1.4294378e-05,6.2167695e-05,0.11429147,1.0,1.0,1.0
2020-03-01,1,2.4931756e-05,9.897942e-06,0.11402056,1.0,1.0,1.0
2020-03-02,1,2.2881346e-05,9.675645e-05,0.113927424,1.0,1.0,1.0
2020-03-03,1,0.0,0.0,0.0,1.0,1.0,1.0
2020-03-04,1,1.6258215e-05,-8.376412e-05,0.1125002,1.0,1.0,1.0
2020-03-05,1,8.7301605e-06,7.4311494e-05,0.11289556,1.0,1.0,1.0
2020-03-06,1,2.507646e-05,1.3389636e-05,0.11222576,1.0,1.0,1.0
2020-03-07,1,0.0,0.0,0.112021126,1.0,1.0,1.0
2020-03-08,1,6.72656e-06,0.000114675226,0.1142556,1.0,1.0,1.0
2020-03-09,1,8.447955e-06,7.543133e-07,0.11403816,1.0,1.0,1.0
2020-03-10,1,2.1653448e-05,0.0001162206,0.113698915,1.0,1.0,1.0
2020-03-11,1,1.2104631e-05,6.3700677e-06,0.112470075,1.0,1.0,1.0
2020-03-12,1,1.30187955e-05,-1.465042e-05,0.1128518,1.0,1.0,1.0
2020-03-13,1,2.0692476e-05,0.00024246315,0.112935156,1.0,1.0,1.0
2020-03-14,1,0.0,-4.7050326e-05,0.113132566,1.0,1.0,1.0
2020-03-15,1,1.2302504e-06,0.00011134088,0.11424355,1.0,1.0,1.0
2020-03-16,1,8.601489e-06,1.3441906e-05,0.11359543,1.0,1.0,1.0
