columna,dtype,n_nulos,pct_nulos,n_unicos
date,category,0,0.0,1826
year,int16,0,0.0,5
month,int8,0,0.0,12
day,int8,0,0.0,31
s5p_tile_id,category,0,0.0,1
s5p_grid_id,category,0,0.0,696
s5p_lat_center,float32,0,0.0,29
s5p_lon_center,float32,0,0.0,24
s5p_bbox,category,0,0.0,696
s5p_no2_column,float32,0,0.0,128510
s5p_so2_column,float32,0,0.0,120058
s5p_o3_column,float32,0,0.0,418299
s5p_qa_no2,float32,0,0.0,1
s5p_qa_so2,float32,0,0.0,1
s5p_qa_o3,float32,0,0.0,1
s5p_available_no2,int8,0,0.0,1
s5p_available_so2,int8,0,0.0,1
s5p_available_o3,int8,0,0.0,1
s5p_n_tiles_available_day,int16,0,0.0,1
s5p_source,category,0,0.0,1
s5p_qa_available,int8,0,0.0,1
