estacion,n_registros,n_validos,pct_nulos,contaminantes,fecha_min,fecha_max
Univalle,101600,60225,40.723,3,2020-01-01 00:00:00,2024-12-31 23:00:00
Base Aerea,101117,52160,48.416,3,2020-01-01 01:00:00,2024-12-31 23:00:00
Flora,131544,48718,62.964,3,2020-01-01 00:00:00,2024-12-31 23:00:00
Ermita,70904,36920,47.93,3,2020-01-01 00:00:00,2024-12-31 23:00:00
Pance,74016,36340,50.903,3,2020-01-01 00:00:00,2024-12-31 23:00:00
Compartir,73424,35056,52.255,3,2020-01-01 00:00:00,2024-12-31 23:00:00
Canaveralejo,68248,32923,51.76,3,2020-01-01 00:00:00,2024-12-31 23:00:00
ERA - Obrero,72768,26535,63.535,3,2020-01-01 00:00:00,2024-12-31 23:00:00
Transitoria - Navarro,87694,13274,84.863,2,2020-01-01 01:00:00,2024-12-31 23:00:00
TRANSITORIA-NAVARRO,21831,7780,64.363,3,2020-01-02 00:00:00,2022-12-10 23:00:00
