variable,n_registros,n_validos,porcentaje_nulos,media,desviacion,min,p25,mediana,p75,max
temperature_2m_c,43848,43848,0.0,19.962688,2.2160683,12.9140625,18.341766357421875,19.49208,21.540016174316406,27.731262
dewpoint_2m_c,43848,43848,0.0,16.96577,1.1074595,10.322784,16.257652282714844,17.036865,17.72832489013672,21.231018
relative_humidity_pct,43848,43848,0.0,83.362625,7.94873,46.802917,78.8419132232666,85.61908,89.0610294342041,98.83175
u10_m_s,43848,43848,0.0,-0.046021946,0.5447488,-1.6613431,-0.4769371896982193,-0.11095953,0.354889340698719,1.6605268
v10_m_s,43848,43848,0.0,-0.5152932,0.51074654,-2.502267,-0.8538316190242767,-0.49682558,-0.18202869221568108,1.7136705
wind_speed_10m,43848,43848,0.0,0.83508015,0.35761663,0.0061686053,0.5883602797985077,0.8141029,1.0524888634681702,2.5023837
wind_direction_10m_deg,43848,43848,0.0,161.7979,134.4707,0.00065612793,32.830322265625,104.273224,302.9791793823242,359.99576
surface_pressure_hpa,43848,43848,0.0,867.9533,2.065771,860.22217,866.4881744384766,867.94727,869.4468231201172,874.24994
total_precipitation_mm_raw,43848,43848,0.0,5.5864563,7.9580474,0.00033196478,1.0308732390403748,2.8096976,6.771246314048767,109.06565
total_precipitation_mm_hourly,43848,43847,0.0023,0.43626726,0.6858416,0.0,0.06143268942832947,0.20918095,0.5352928042411804,12.075098
surface_solar_radiation_downwards_j_m2,43848,43848,0.0,4.996236e+06,6.655801e+06,0.0,0.0,259603.89,10155211.0,2.6256092e+07
