mes,n_registros
2020-01,744
2020-02,696
2020-03,744
2020-04,720
2020-05,744
2020-06,720
2020-07,744
2020-08,744
2020-09,720
2020-10,744
2020-11,720
2020-12,744
2021-01,744
2021-02,672
2021-03,744
2021-04,720
2021-05,744
2021-06,720
2021-07,744
2021-08,744
2021-09,720
2021-10,744
2021-11,720
2021-12,744
2022-01,744
2022-02,672
2022-03,744
2022-04,720
2022-05,744
2022-06,720
2022-07,744
2022-08,744
2022-09,720
2022-10,744
2022-11,720
2022-12,744
2023-01,744
2023-02,672
2023-03,744
2023-04,720
2023-05,744
2023-06,720
2023-07,744
2023-08,744
2023-09,720
2023-10,744
2023-11,720
2023-12,744
2024-01,744
2024-02,696
2024-03,744
2024-04,720
2024-05,744
2024-06,720
2024-07,744
2024-08,744
2024-09,720
2024-10,744
2024-11,720
2024-12,744
