mes,n_imagenes,tamano_total_mb
2020-01,23,0.079
2020-02,16,0.061
2020-03,20,0.063
2020-04,15,0.043000000000000003
2020-05,15,0.037
2020-06,16,0.036000000000000004
2020-07,18,0.054
2020-08,15,0.045
2020-09,18,0.055
2020-10,18,0.052000000000000005
2020-11,15,0.039
2020-12,17,0.049
2021-01,20,0.059000000000000004
2021-02,14,0.034
2021-03,13,0.035
2021-04,9,0.026000000000000002
2021-05,21,0.059000000000000004
2021-06,16,0.045
2021-07,21,0.06
2021-08,13,0.03
2021-09,18,0.059000000000000004
2021-10,20,0.045
2021-11,12,0.029
2021-12,16,0.039
2022-01,23,0.066
2022-02,16,0.038
2022-03,17,0.049
2022-04,12,0.027
2022-05,9,0.028
2022-06,19,0.046
2022-07,22,0.057
2022-08,21,0.058
2022-09,19,0.055
2022-10,16,0.037
2022-11,19,0.047
2022-12,24,0.061
2023-01,20,0.051000000000000004
2023-02,18,0.052000000000000005
2023-03,17,0.039
2023-04,13,0.031
2023-05,14,0.048
2023-06,21,0.057
2023-07,18,0.055
2023-08,22,0.062
2023-09,19,0.062
2023-10,16,0.048
2023-11,17,0.049
2023-12,21,0.056
2024-01,26,0.095
2024-02,20,0.066
2024-03,20,0.069
2024-04,21,0.056
2024-05,15,0.037
2024-06,11,0.026000000000000002
2024-07,18,0.053
2024-08,22,0.074
2024-09,22,0.079
2024-10,18,0.056
2024-11,17,0.037
2024-12,18,0.055
