archivo,ruta,extension,size_mb,fecha_inferida,carpeta_padre,modificado,anio,mes
era5_land_cali_2020_01.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_01.nc,.nc,0.224,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_02.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_02.nc,.nc,0.218,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_03.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_03.nc,.nc,0.225,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_04.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_04.nc,.nc,0.221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_05.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_05.nc,.nc,0.225,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_06.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_06.nc,.nc,0.221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_07.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_07.nc,.nc,0.226,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:53,,
era5_land_cali_2020_08.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_08.nc,.nc,0.225,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_09.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_09.nc,.nc,0.221,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
era5_land_cali_2020_10.nc,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw/era5_land_cali_2020_10.nc,.nc,0.226,,/workspace/geovision-cali-hf/data/era5_modis/era5_land_raw,2026-05-22 03:42:54,,
