variable,n_registros,n_validos,porcentaje_nulos,media,desviacion,min,p25,mediana,p75,max
aod_047_mean,1827,1060,41.9814,0.38164703005217127,0.12965589971318814,0.0,0.292449491180986,0.39778801344503006,0.4793541733122567,0.8069346705710102
aod_055_mean,1827,1060,41.9814,0.2769596920893829,0.09494728204473527,0.0,0.21121821219284553,0.2884587853812369,0.3484396761503684,0.5925936163982425
n_observations,1827,1827,0.0,83.34428024083196,29.703338306200433,3.0,67.0,69.0,99.0,202.0
aod_disponible,1827,1827,0.0,0.5801860974274767,0.49366342765756166,0.0,0.0,1.0,1.0,1.0
year,1827,1827,0.0,2022.0,1.4153748163492772,2020.0,2021.0,2022.0,2023.0,2024.0
month,1827,1827,0.0,6.521072796934866,3.450156646547563,1.0,4.0,7.0,10.0,12.0
dayofyear,1827,1827,0.0,183.20032840722496,105.51094761023381,1.0,92.0,183.0,274.5,366.0
month_sin,1827,1827,0.0,-0.004427179676037163,0.7060271703340673,-1.0,-0.8660254037844384,-2.4492935982947064e-16,0.49999999999999994,1.0
month_cos,1827,1827,0.0,-0.0018227296217418003,0.7085551108132697,-1.0,-0.8660254037844387,-1.8369701987210297e-16,0.8660254037844384,1.0
doy_sin,1827,1827,0.0,1.884330175786206e-05,0.7069133621709615,-0.9999907397361901,-0.7055836101071774,6.432490598706546e-16,0.705583610107178,0.9999907397361901
doy_cos,1827,1827,0.0,0.0010945285596158537,0.7076863320045106,-0.9999629591162655,-0.7086266782644596,0.004303538296243821,0.708600430106059,1.0
aod_047_observado,1827,1060,41.9814,0.38164703005217127,0.12965589971318814,0.0,0.292449491180986,0.39778801344503006,0.4793541733122567,0.8069346705710102
aod_055_observado,1827,1060,41.9814,0.2769596920893829,0.09494728204473527,0.0,0.21121821219284553,0.2884587853812369,0.3484396761503684,0.5925936163982425
aod_047_interp,1827,1827,0.0,0.38678969756457454,0.12011751199697729,0.0,0.30454274431432155,0.40205545943555165,0.47603261590236856,0.8069346705710102
aod_055_interp,1827,1827,0.0,0.280739043588187,0.08795560347900179,0.0,0.22035679586269608,0.2916369214020782,0.3460582440536285,0.5925936163982425
