mes,n_registros
2020-01,21576
2020-02,20184
2020-03,21576
2020-04,20880
2020-05,21576
2020-06,20880
2020-07,21576
2020-08,21576
2020-09,20880
2020-10,21576
2020-11,20880
2020-12,21576
2021-01,21576
2021-02,19488
2021-03,21576
2021-04,20880
2021-05,21576
2021-06,20880
2021-07,21576
2021-08,21576
2021-09,20880
2021-10,21576
2021-11,20880
2021-12,21576
2022-01,21576
2022-02,19488
2022-03,21576
2022-04,20880
2022-05,20880
2022-06,20880
2022-07,21576
2022-08,21576
2022-09,20880
2022-10,21576
2022-11,20880
2022-12,21576
2023-01,21576
2023-02,19488
2023-03,21576
2023-04,20880
2023-05,21576
2023-06,20880
2023-07,21576
2023-08,21576
2023-09,20880
2023-10,21576
2023-11,20880
2023-12,21576
2024-01,21576
2024-02,20184
2024-03,21576
2024-04,20880
2024-05,21576
2024-06,20880
2024-07,21576
2024-08,21576
2024-09,20880
2024-10,21576
2024-11,20880
2024-12,21576
