mes,n_registros
2020-01,5
2020-02,4
2020-03,2
2020-04,1
2020-05,1
2020-06,1
2020-07,1
2020-08,2
2020-09,3
2020-10,3
2020-11,1
2021-01,2
2021-02,1
2021-05,2
2021-06,1
2021-07,4
2021-08,1
2021-09,3
2021-10,5
2021-11,3
2021-12,1
2022-01,1
2022-02,1
2022-04,3
2022-05,1
2022-06,2
2022-07,2
2022-08,2
2022-09,4
2022-10,1
2022-12,1
2023-01,3
2023-02,3
2023-03,2
2023-04,1
2023-05,3
2023-06,2
2023-07,3
2023-08,4
2023-09,3
2023-10,3
2023-11,1
2023-12,2
2024-01,5
2024-02,3
2024-03,2
2024-04,4
2024-05,1
2024-06,3
2024-07,1
2024-08,5
2024-09,3
2024-10,3
2024-11,1
2024-12,3
