variable,dtype,n_registros,n_validos,n_nulos,porcentaje_nulos,n_unicos
s2_days_from_observation,float64,278618,0,278618,100.0,0
s2_observed,object,278618,0,278618,100.0,0
no2_insitu,float64,278618,26259,252359,90.5753,2509
so2_insitu,float64,278618,132415,146203,52.4744,3395
aod_047_mean,float64,278618,163461,115157,41.3315,1050
aod_047_observado,float64,278618,163461,115157,41.3315,1050
aod_055_observado,float64,278618,163461,115157,41.3315,1046
aod_055_mean,float64,278618,163461,115157,41.3315,1046
o3_insitu,float64,278618,191257,87361,31.3551,10204
year_y,float64,278618,269609,9009,3.2335,5
s2_date,datetime64[ns],278618,269609,9009,3.2335,114
s2_b4_std,float32,278618,269609,9009,3.2335,841
s2_b6_mean,float32,278618,269609,9009,3.2335,840
s2_b6_std,float32,278618,269609,9009,3.2335,841
s2_b4_mean,float32,278618,269609,9009,3.2335,839
s2_b5_std,float32,278618,269609,9009,3.2335,841
s2_b8_mean,float32,278618,269609,9009,3.2335,838
s2_b8_std,float32,278618,269609,9009,3.2335,841
s2_b8a_mean,float32,278618,269609,9009,3.2335,838
s2_b8a_std,float32,278618,269609,9009,3.2335,841
s2_b9_mean,float32,278618,269609,9009,3.2335,839
s2_b9_std,float32,278618,269609,9009,3.2335,841
s2_b5_mean,float32,278618,269609,9009,3.2335,841
s2_b7_std,float32,278618,269609,9009,3.2335,841
s2_cloud_pct,float64,278618,269609,9009,3.2335,111
s2_valid_pixel_pct,float32,278618,269609,9009,3.2335,55
month_y,float64,278618,269609,9009,3.2335,12
day_y,float64,278618,269609,9009,3.2335,30
s2_lat_center,float64,278618,269609,9009,3.2335,6
s2_lon_center,float64,278618,269609,9009,3.2335,7
s2_bbox,str,278618,269609,9009,3.2335,9
s2_source,str,278618,269609,9009,3.2335,1
s2_b2_mean,float32,278618,269609,9009,3.2335,840
s2_b2_std,float32,278618,269609,9009,3.2335,841
s2_b1_mean,float32,278618,269609,9009,3.2335,839
s2_b1_std,float32,278618,269609,9009,3.2335,841
s2_b3_mean,float32,278618,269609,9009,3.2335,840
s2_b3_std,float32,278618,269609,9009,3.2335,841
s2_b7_mean,float32,278618,269609,9009,3.2335,841
s2_b11_std,float32,278618,269609,9009,3.2335,841
s2_ndvi_std,float32,278618,269609,9009,3.2335,841
s2_b11_mean,float32,278618,269609,9009,3.2335,841
s2_b12_mean,float32,278618,269609,9009,3.2335,838
s2_b12_std,float32,278618,269609,9009,3.2335,841
s2_ndbi,float32,278618,269609,9009,3.2335,841
s2_urban_index,float32,278618,269609,9009,3.2335,841
s2_ndvi,float32,278618,269609,9009,3.2335,841
s2_bsi,float32,278618,269609,9009,3.2335,841
s2_cell_key,str,278618,269609,9009,3.2335,9
s2_vegetation_fraction,float32,278618,269609,9009,3.2335,135
s2_ndbi_std,float32,278618,269609,9009,3.2335,841
s2_bsi_std,float32,278618,269609,9009,3.2335,841
s2_temporal_distance_days,float64,278618,269609,9009,3.2335,31
s5p_qa_available,object,278618,278452,166,0.0596,1
s5p_available_no2,object,278618,278452,166,0.0596,1
s5p_qa_o3,float32,278618,278452,166,0.0596,1
s5p_qa_no2,float32,278618,278452,166,0.0596,1
s5p_source,str,278618,278452,166,0.0596,1
s5p_available_so2,object,278618,278452,166,0.0596,1
s5p_available_o3,object,278618,278452,166,0.0596,1
s5p_lat_center,float32,278618,278452,166,0.0596,6
s5p_tile_id,str,278618,278452,166,0.0596,1
s5p_bbox,category,278618,278452,166,0.0596,8
s5p_lon_center,float32,278618,278452,166,0.0596,7
s5p_qa_so2,float32,278618,278452,166,0.0596,1
total_precipitation_mm_hourly,float32,278618,278611,7,0.0025,43430
hour,int32,278618,278618,0,0.0,24
date,datetime64[ns],278618,278618,0,0.0,1827
municipio,str,278618,278618,0,0.0,2
estacion,str,278618,278618,0,0.0,9
lat,float64,278618,278618,0,0.0,9
lon,float64,278618,278618,0,0.0,9
aod_origen,str,278618,278618,0,0.0,2
aod_055_interp,float64,278618,278618,0,0.0,1806
aod_047_interp,float64,278618,278618,0,0.0,1811
doy_cos,float64,278618,278618,0,0.0,338
month_cos,float64,278618,278618,0,0.0,11
doy_sin,float64,278618,278618,0,0.0,366
dayofyear,int32,278618,278618,0,0.0,366
month_sin,float64,278618,278618,0,0.0,11
aod_disponible,int64,278618,278618,0,0.0,2
n_observations,int64,278618,278618,0,0.0,118
month_modis,int32,278618,278618,0,0.0,12
year_modis,int32,278618,278618,0,0.0,5
wind_direction_10m_deg,float32,278618,278618,0,0.0,43754
surface_pressure_hpa,float32,278618,278618,0,0.0,34929
total_precipitation_mm_raw,float32,278618,278618,0,0.0,43753
surface_solar_radiation_downwards_j_m2,float32,278618,278618,0,0.0,23537
month_x,int32,278618,278618,0,0.0,12
dewpoint_2m_c,float32,278618,278618,0,0.0,36538
temperature_2m_c,float32,278618,278618,0,0.0,39635
day_x,int32,278618,278618,0,0.0,31
v10_m_s,float32,278618,278618,0,0.0,43437
wind_speed_10m,float32,278618,278618,0,0.0,43796
u10_m_s,float32,278618,278618,0,0.0,43126
relative_humidity_pct,float32,278618,278618,0,0.0,43459
year_x,int32,278618,278618,0,0.0,5
fecha_hora,datetime64[ns],278618,278618,0,0.0,43848
s2_grid_id,str,278618,278618,0,0.0,9
s2_grid_distance_km,float64,278618,278618,0,0.0,9
s5p_tile_distance_km,float64,278618,278618,0,0.0,9
s5p_cell_key,str,278618,278618,0,0.0,8
anio,int32,278618,278618,0,0.0,5
mes,str,278618,278618,0,0.0,60
