mes,n_registros
2020-01,3309
2020-02,2718
2020-03,2901
2020-04,3454
2020-05,3349
2020-06,3781
2020-07,5151
2020-08,4485
2020-09,4393
2020-10,3544
2020-11,3406
2020-12,3641
2021-01,3732
2021-02,3944
2021-03,3642
2021-04,3562
2021-05,3386
2021-06,2733
2021-07,3676
2021-08,3849
2021-09,3688
2021-10,4162
2021-11,4350
2021-12,4803
2022-01,5137
2022-02,4422
2022-03,4968
2022-04,4780
2022-05,5250
2022-06,4713
2022-07,4934
2022-08,5062
2022-09,4572
2022-10,5503
2022-11,4579
2022-12,5715
2023-01,5443
2023-02,4287
2023-03,5792
2023-04,5153
2023-05,5307
2023-06,5486
2023-07,5816
2023-08,5439
2023-09,5456
2023-10,6043
2023-11,5601
2023-12,5607
2024-01,6268
2024-02,5527
2024-03,5371
2024-04,5368
2024-05,5277
2024-06,5320
2024-07,6307
2024-08,6448
2024-09,6224
2024-10,5535
2024-11,2203
2024-12,4046
