,no2_insitu,so2_insitu,o3_insitu,temperature_2m_c,relative_humidity_pct,wind_speed_10m,total_precipitation_mm_hourly,surface_solar_radiation_downwards_j_m2,aod_047_interp,aod_055_interp,s2_ndvi,s2_ndbi,s2_bsi,s2_urban_index,s2_vegetation_fraction,s2_cloud_pct,s2_valid_pixel_pct,s2_temporal_distance_days
no2_insitu,1.0,,-0.19535537529770228,0.1446457042498092,-0.13706597980882815,0.164986807908482,0.10377687718399274,0.31145840401739683,-0.00509346251715151,-0.005325850248487923,-0.017040996967776747,0.07553229710068757,0.05078797776842932,0.06637532435021791,-0.018258184836013054,0.0426570909392283,0.014019444630911353,0.08765325367500727
so2_insitu,,1.0,0.178675806659947,-0.10145807540913972,0.02111156289613979,-0.021965842885663178,-0.06437220504491001,-0.03230143937867632,0.01200785876516432,0.011894384821691553,-0.006389962674891658,0.058879395937233646,0.006332047646255995,0.03105771169354023,0.006592234943833841,0.013819163255671035,0.009488669480472108,0.009201611370587741
o3_insitu,-0.19535537529770228,0.178675806659947,1.0,0.16261245785276823,-0.2352990223332948,0.0759511165777125,-0.1367181324035017,0.19536402916748324,0.00032695155849447654,0.0003087942838344169,0.05583532767705847,-0.054704671011168104,-0.05557079349745353,-0.05556848797714266,0.04569919809077311,-0.02279507487286416,-0.0008217669022235275,-0.004315062947848722
temperature_2m_c,0.1446457042498092,-0.10145807540913972,0.16261245785276823,1.0,-0.8137501654713825,0.3661567578549647,0.00010761323457635445,0.7078648165767487,-0.017464319334991606,-0.017574216032250525,-0.003471808340788549,0.04157835211770298,0.050339377584319896,0.04628753848974081,-0.00670968227560983,-0.08298959360051447,0.004853807606835592,-0.07224323421031954
relative_humidity_pct,-0.13706597980882815,0.02111156289613979,-0.2352990223332948,-0.8137501654713825,1.0,-0.2797276646740434,0.20360857875646304,-0.5517055464492944,0.08109040003754187,0.08121780894004117,-0.0024703762539057105,-0.028155865258069946,-0.03884641858058721,-0.03339734867196458,0.00481143552927867,0.06230611959568488,-0.014689111187433644,0.09012221781058494
wind_speed_10m,0.164986807908482,-0.021965842885663178,0.0759511165777125,0.3661567578549647,-0.2797276646740434,1.0,-0.025385503959106347,0.383484474558698,-0.07099316478396955,-0.07106983006044713,-0.0053104780700412605,0.05177928537367402,0.06562376195997917,0.058719611498610734,-0.01651298705448234,-0.08270595664703272,0.013482473757201189,-0.08366785523517559
total_precipitation_mm_hourly,0.10377687718399274,-0.06437220504491001,-0.1367181324035017,0.00010761323457635445,0.20360857875646304,-0.025385503959106347,1.0,0.08528690063752463,0.11185425664329793,0.11210229703220284,-0.020114308813989828,-0.04017757991748887,-0.05731503105769814,-0.048632974092796696,-0.01220700152732947,0.11704873522616625,-0.01321292462744493,0.1415064840306429
surface_solar_radiation_downwards_j_m2,0.31145840401739683,-0.03230143937867632,0.19536402916748324,0.7078648165767487,-0.5517055464492944,0.383484474558698,0.08528690063752463,1.0,-0.011314682981596593,-0.01135084200139355,-2.5547356855801996e-05,0.006576636858752285,0.008024847525799865,0.007282718234577379,-0.0015568305781307604,-0.0164987458086359,0.000311439599054343,-0.021539922547978943
aod_047_interp,-0.00509346251715151,0.01200785876516432,0.00032695155849447654,-0.017464319334991606,0.08109040003754187,-0.07099316478396955,0.11185425664329793,-0.011314682981596593,1.0,0.9999910996984803,-0.030911253272111548,-0.05180986121554679,-0.06620753792395159,-0.05867628982009305,-0.026113578719428102,0.12436493467231813,-0.0627332080137924,0.14243294315417923
aod_055_interp,-0.005325850248487923,0.011894384821691553,0.0003087942838344169,-0.017574216032250525,0.08121780894004117,-0.07106983006044713,0.11210229703220284,-0.01135084200139355,0.9999910996984803,1.0,-0.030851084671295447,-0.05184711062347405,-0.06625649043844692,-0.058725622078650314,-0.02602300977729615,0.12428569687068329,-0.06250857021027525,0.14275872799314115
