variable,q1,q3,iqr,limite_inferior_iqr,limite_superior_iqr,n_outliers_iqr,pct_outliers_iqr
no2_insitu,6.957510697042645,18.97331971166494,12.015809014622294,-11.066202824890796,36.99703323359838,866,3.2979
so2_insitu,1.178237965344666,6.074471287999165,4.896233322654499,-6.166112018637083,13.418821271980914,9713,7.3353
o3_insitu,6.964494019669679,39.67,32.70550598033032,-42.09376495082581,88.72825897049549,13338,6.9739
temperature_2m_c,18.369171142578125,21.600921630859375,3.23175048828125,13.52154541015625,26.44854736328125,449,0.1612
relative_humidity_pct,78.67597961425781,89.01978302001953,10.343803405761719,63.160274505615234,104.53548812866211,4952,1.7773
wind_speed_10m,0.5912957191467285,1.0571396350860596,0.46584391593933105,-0.10747015476226807,1.7559055089950562,3649,1.3097
total_precipitation_mm_hourly,0.06035614013671875,0.5333013534545898,0.4729452133178711,-0.6490616798400879,1.2427191734313965,21056,7.5575
surface_solar_radiation_downwards_j_m2,0.0,10214796.0,10214796.0,-15322194.0,25536990.0,12,0.0043
aod_047_interp,0.29715102704300284,0.4736573513778724,0.17650632433486957,0.03239154054069848,0.7384168378801768,883,0.3169
aod_055_interp,0.21485020008939992,0.34411563510897875,0.12926543501957882,0.02095204756003169,0.538013787638347,883,0.3169
s2_ndvi,0.11424802988767624,0.28477904200553894,0.1705310121178627,-0.1415484882891178,0.540575560182333,0,0.0
s2_ndbi,-0.0559527613222599,0.029242726042866707,0.08519548736512661,-0.18374599236994982,0.15703595709055662,2035,0.7548
s2_bsi,-0.04298396408557892,0.029203874990344048,0.07218783907592297,-0.15126572269946337,0.1374856336042285,1312,0.4866
s2_urban_index,-0.04856687784194946,0.028380397707223892,0.07694727554917336,-0.1639877911657095,0.14380131103098392,2263,0.8394
s2_vegetation_fraction,0.02222222276031971,0.5061728358268738,0.48395061306655407,-0.7037036968395114,1.2320987554267049,0,0.0
s2_cloud_pct,27.8,49.79,21.99,-5.184999999999999,82.775,0,0.0
s2_valid_pixel_pct,100.0,100.0,0.0,100.0,100.0,20720,7.6852
s2_temporal_distance_days,2.0,9.0,7.0,-8.5,19.5,15173,5.6278
