variable,dtype,n_registros,n_validos,n_nulos,porcentaje_nulos,n_unicos
s2_days_from_observation,float64,278618,0,278618,100.0,0
s2_observed,object,278618,0,278618,100.0,0
no2_insitu,float64,278618,26259,252359,90.5753,2509
so2_insitu,float64,278618,132415,146203,52.4744,3395
aod_047_mean,float64,278618,163461,115157,41.3315,1050
aod_047_observado,float64,278618,163461,115157,41.3315,1050
aod_055_observado,float64,278618,163461,115157,41.3315,1046
aod_055_mean,float64,278618,163461,115157,41.3315,1046
o3_insitu,float64,278618,191257,87361,31.3551,10204
year_y,float64,278618,269609,9009,3.2335,5
s2_date,datetime64[ns],278618,269609,9009,3.2335,114
s2_b4_std,float32,278618,269609,9009,3.2335,841
s2_b6_mean,float32,278618,269609,9009,3.2335,840
s2_b6_std,float32,278618,269609,9009,3.2335,841
s2_b4_mean,float32,278618,269609,9009,3.2335,839
s2_b5_std,float32,278618,269609,9009,3.2335,841
s2_b8_mean,float32,278618,269609,9009,3.2335,838
s2_b8_std,float32,278618,269609,9009,3.2335,841
s2_b8a_mean,float32,278618,269609,9009,3.2335,838
s2_b8a_std,float32,278618,269609,9009,3.2335,841
