variable,fuente_probable,dtype,porcentaje_nulos
fecha_hora,Temporal/metadatos,datetime64[ns],0.0
date,Temporal/metadatos,datetime64[ns],0.0
hour,Otra,int32,0.0
municipio,Otra,str,0.0
estacion,Espacial/metadatos,str,0.0
lat,Espacial/metadatos,float64,0.0
lon,Espacial/metadatos,float64,0.0
no2_insitu,DAGMA/SISAIRE,float64,90.5753
so2_insitu,DAGMA/SISAIRE,float64,52.4744
o3_insitu,DAGMA/SISAIRE,float64,31.3551
year_x,Temporal/metadatos,int32,0.0
month_x,Temporal/metadatos,int32,0.0
day_x,Temporal/metadatos,int32,0.0
temperature_2m_c,ERA5-Land,float32,0.0
dewpoint_2m_c,ERA5-Land,float32,0.0
relative_humidity_pct,ERA5-Land,float32,0.0
u10_m_s,ERA5-Land,float32,0.0
v10_m_s,ERA5-Land,float32,0.0
wind_speed_10m,ERA5-Land,float32,0.0
wind_direction_10m_deg,ERA5-Land,float32,0.0
surface_pressure_hpa,ERA5-Land,float32,0.0
total_precipitation_mm_raw,ERA5-Land,float32,0.0
total_precipitation_mm_hourly,ERA5-Land,float32,0.0025
surface_solar_radiation_downwards_j_m2,ERA5-Land,float32,0.0
aod_047_mean,MODIS/MAIAC,float64,41.3315
aod_055_mean,MODIS/MAIAC,float64,41.3315
n_observations,Otra,int64,0.0
aod_disponible,MODIS/MAIAC,int64,0.0
year_modis,MODIS/MAIAC,int32,0.0
month_modis,MODIS/MAIAC,int32,0.0
dayofyear,Temporal/metadatos,int32,0.0
month_sin,Temporal/metadatos,float64,0.0
month_cos,Temporal/metadatos,float64,0.0
doy_sin,Otra,float64,0.0
doy_cos,Otra,float64,0.0
aod_047_observado,MODIS/MAIAC,float64,41.3315
aod_055_observado,MODIS/MAIAC,float64,41.3315
aod_047_interp,MODIS/MAIAC,float64,0.0
aod_055_interp,MODIS/MAIAC,float64,0.0
aod_origen,MODIS/MAIAC,str,0.0
s5p_cell_key,Sentinel-5P,str,0.0
s5p_tile_distance_km,Sentinel-5P,float64,0.0
s5p_tile_id,Sentinel-5P,str,0.0596
s5p_lat_center,Sentinel-5P,float32,0.0596
s5p_lon_center,Sentinel-5P,float32,0.0596
s5p_bbox,Sentinel-5P,category,0.0596
s5p_qa_no2,Sentinel-5P,float32,0.0596
s5p_qa_so2,Sentinel-5P,float32,0.0596
s5p_qa_o3,Sentinel-5P,float32,0.0596
s5p_available_no2,Sentinel-5P,object,0.0596
s5p_available_so2,Sentinel-5P,object,0.0596
s5p_available_o3,Sentinel-5P,object,0.0596
s5p_qa_available,Sentinel-5P,object,0.0596
s5p_source,Sentinel-5P,str,0.0596
s2_grid_id,Sentinel-2,str,0.0
s2_grid_distance_km,Sentinel-2,float64,0.0
s2_date,Sentinel-2,datetime64[ns],3.2335
year_y,Temporal/metadatos,float64,3.2335
month_y,Temporal/metadatos,float64,3.2335
day_y,Temporal/metadatos,float64,3.2335
s2_lat_center,Sentinel-2,float64,3.2335
s2_lon_center,Sentinel-2,float64,3.2335
s2_bbox,Sentinel-2,str,3.2335
s2_source,Sentinel-2,str,3.2335
s2_cloud_pct,Sentinel-2,float64,3.2335
s2_valid_pixel_pct,Sentinel-2,float32,3.2335
s2_b1_mean,Sentinel-2,float32,3.2335
s2_b1_std,Sentinel-2,float32,3.2335
s2_b2_mean,Sentinel-2,float32,3.2335
s2_b2_std,Sentinel-2,float32,3.2335
s2_b3_mean,Sentinel-2,float32,3.2335
s2_b3_std,Sentinel-2,float32,3.2335
s2_b4_mean,Sentinel-2,float32,3.2335
s2_b4_std,Sentinel-2,float32,3.2335
s2_b5_mean,Sentinel-2,float32,3.2335
s2_b5_std,Sentinel-2,float32,3.2335
s2_b6_mean,Sentinel-2,float32,3.2335
s2_b6_std,Sentinel-2,float32,3.2335
s2_b7_mean,Sentinel-2,float32,3.2335
s2_b7_std,Sentinel-2,float32,3.2335
s2_b8_mean,Sentinel-2,float32,3.2335
s2_b8_std,Sentinel-2,float32,3.2335
s2_b8a_mean,Sentinel-2,float32,3.2335
s2_b8a_std,Sentinel-2,float32,3.2335
s2_b9_mean,Sentinel-2,float32,3.2335
s2_b9_std,Sentinel-2,float32,3.2335
s2_b11_mean,Sentinel-2,float32,3.2335
s2_b11_std,Sentinel-2,float32,3.2335
s2_b12_mean,Sentinel-2,float32,3.2335
s2_b12_std,Sentinel-2,float32,3.2335
s2_ndvi,Sentinel-2,float32,3.2335
s2_bsi,Sentinel-2,float32,3.2335
s2_ndbi,Sentinel-2,float32,3.2335
s2_urban_index,Sentinel-2,float32,3.2335
s2_vegetation_fraction,Sentinel-2,float32,3.2335
s2_ndvi_std,Sentinel-2,float32,3.2335
s2_bsi_std,Sentinel-2,float32,3.2335
s2_ndbi_std,Sentinel-2,float32,3.2335
s2_observed,Sentinel-2,object,100.0
s2_days_from_observation,Sentinel-2,float64,100.0
s2_cell_key,Sentinel-2,str,3.2335
s2_temporal_distance_days,Sentinel-2,float64,3.2335
anio,Temporal/metadatos,int32,0.0
mes,Temporal/metadatos,str,0.0
