variable,dtype,n_registros,n_validos,n_nulos,porcentaje_nulos,n_unicos
hour,int32,278618,278618,0,0.0,24
date,datetime64[ns],278618,278618,0,0.0,1827
municipio,str,278618,278618,0,0.0,2
estacion,str,278618,278618,0,0.0,9
lat,float64,278618,278618,0,0.0,9
lon,float64,278618,278618,0,0.0,9
aod_origen,str,278618,278618,0,0.0,2
aod_055_interp,float64,278618,278618,0,0.0,1806
aod_047_interp,float64,278618,278618,0,0.0,1811
doy_cos,float64,278618,278618,0,0.0,338
month_cos,float64,278618,278618,0,0.0,11
doy_sin,float64,278618,278618,0,0.0,366
dayofyear,int32,278618,278618,0,0.0,366
month_sin,float64,278618,278618,0,0.0,11
aod_disponible,int64,278618,278618,0,0.0,2
n_observations,int64,278618,278618,0,0.0,118
month_modis,int32,278618,278618,0,0.0,12
year_modis,int32,278618,278618,0,0.0,5
wind_direction_10m_deg,float32,278618,278618,0,0.0,43754
surface_pressure_hpa,float32,278618,278618,0,0.0,34929
total_precipitation_mm_raw,float32,278618,278618,0,0.0,43753
surface_solar_radiation_downwards_j_m2,float32,278618,278618,0,0.0,23537
month_x,int32,278618,278618,0,0.0,12
dewpoint_2m_c,float32,278618,278618,0,0.0,36538
temperature_2m_c,float32,278618,278618,0,0.0,39635
day_x,int32,278618,278618,0,0.0,31
v10_m_s,float32,278618,278618,0,0.0,43437
wind_speed_10m,float32,278618,278618,0,0.0,43796
u10_m_s,float32,278618,278618,0,0.0,43126
relative_humidity_pct,float32,278618,278618,0,0.0,43459
year_x,int32,278618,278618,0,0.0,5
fecha_hora,datetime64[ns],278618,278618,0,0.0,43848
s2_grid_id,str,278618,278618,0,0.0,9
s2_grid_distance_km,float64,278618,278618,0,0.0,9
s5p_tile_distance_km,float64,278618,278618,0,0.0,9
s5p_cell_key,str,278618,278618,0,0.0,8
anio,int32,278618,278618,0,0.0,5
mes,str,278618,278618,0,0.0,60
