,no2_insitu,so2_insitu,o3_insitu,temperature_2m_c,dewpoint_2m_c,relative_humidity_pct,wind_speed_10m,wind_direction_10m_deg,surface_pressure_hpa,total_precipitation_mm_hourly,surface_solar_radiation_downwards_j_m2,aod_047_interp,aod_055_interp,aod_047_observado,aod_055_observado,s5p_tile_distance_km,s5p_qa_no2,s5p_qa_so2,s5p_qa_o3,s2_cloud_pct,s2_valid_pixel_pct,s2_ndvi,s2_bsi,s2_ndbi,s2_urban_index,s2_vegetation_fraction
no2_insitu,1.0,,-0.20381611561157462,0.14389988533479622,0.0978318570384207,-0.13469837267996343,0.1609421332298592,-0.15190435050361387,-0.34380524604314255,0.019813156616617346,0.3831202607397795,0.0009774786953027318,0.0007073914916098137,0.005771738295176903,0.005635145437751006,,,,,0.041113628239684445,0.00983046897613704,-0.028508715423258692,0.031150501438597655,0.034153914431521146,0.03330510488704185,-0.04247844579755144
so2_insitu,,1.0,0.11118305028851842,-0.06316421835992432,-0.09844603257261712,0.017996960459253707,0.00925507569187591,0.05707947575825719,-0.1025438289343794,-0.00458056139298301,-0.04902608527687877,0.006924746839459558,0.006782879242545012,-0.0006149296457554847,-0.0007116849110509738,0.011375691873284084,,,,-0.010299744472122759,0.009611821754934092,0.0013431195698656007,0.0269467991669976,0.03255871918585667,0.030334288687914747,0.009118771037878351
o3_insitu,-0.20381611561157462,0.11118305028851842,1.0,0.12925915904145605,-0.043940796630055894,-0.20435613320000062,0.011124879414691896,0.03794725905216876,0.10389774349830981,-0.06232085421664616,-0.11974765114655139,-0.0027464675959125925,-0.0027676312491535147,-0.00551288605182012,-0.005526751542945419,0.06459745831031695,,,,-0.021861005737505938,0.0038497869684793653,0.06778042066841798,-0.07727679866349178,-0.08289263099462134,-0.08088601286362547,0.05917418609165154
temperature_2m_c,0.14389988533479622,-0.06316421835992432,0.12925915904145605,1.0,0.6929664444945758,-0.8749558627359508,0.4472112192207361,-0.32611165434695394,-0.15268752416677248,-0.10415711034863827,0.6365860396097346,-0.03265728352096775,-0.032819139286805736,-0.02485118748803238,-0.02496493377173092,-0.023861207240897964,,,,-0.10045591374754,0.012889772480356734,-0.003152557506047794,0.051596652565849346,0.04069532091370297,0.045750080422455305,-0.009860878846468494
dewpoint_2m_c,0.0978318570384207,-0.09844603257261712,-0.043940796630055894,0.6929664444945758,1.0,-0.26106065377047233,0.2547639598998918,-0.26280566494717017,-0.03645730366572469,0.10779822255223429,0.5000229319172104,0.099504801205272,0.0993635782515318,0.11877537677990407,0.11865708422969627,-0.04765768799464525,,,,-0.05719502013482352,0.008612259003568205,-0.012284784474206735,0.030279476572369294,0.030328133491732922,0.030515854674218926,-0.013571973087304604
relative_humidity_pct,-0.13469837267996343,0.017996960459253707,-0.20435613320000062,-0.8749558627359508,-0.26106065377047233,1.0,-0.4153412795254811,0.25460431436230446,0.18441475389801784,0.21900668799845577,-0.5188652186613014,0.10631021758049679,0.1064362720547326,0.10424742365297907,0.10432875537026393,-0.0005184502729635884,,,,0.09003827815814555,-0.011240828388026498,-0.003403856545788277,-0.04637206452662913,-0.032394231390019096,-0.03873914151688273,0.0044478497684499445
wind_speed_10m,0.1609421332298592,0.00925507569187591,0.011124879414691896,0.4472112192207361,0.2547639598998918,-0.4153412795254811,1.0,-0.1235723896589261,-0.20110055551994208,-0.054909263060819447,0.41681896199674817,-0.0748209483604423,-0.074896816820603,-0.0804155832690591,-0.0804444261615854,-0.008704336123942003,,,,-0.10180508156128479,0.009448550410755284,-0.005933413403063433,0.06616224229444177,0.050033234701240624,0.0574418318990298,-0.015214942688647473
wind_direction_10m_deg,-0.15190435050361387,0.05707947575825719,0.03794725905216876,-0.32611165434695394,-0.26280566494717017,0.25460431436230446,-0.1235723896589261,1.0,0.08525123674826408,0.014240330403516174,-0.4241368118368581,-0.04172329015545354,-0.04176671064162759,-0.04071593665657669,-0.040773708340006425,-0.005659664263911588,,,,-0.04546004160899676,0.006032391058514163,-0.00882349289682949,0.02866904275441307,0.02247071899363138,0.025340170436478956,-0.01247513229106338
surface_pressure_hpa,-0.34380524604314255,-0.1025438289343794,0.10389774349830981,-0.15268752416677248,-0.03645730366572469,0.18441475389801784,-0.20110055551994208,0.08525123674826408,1.0,0.0357209587561763,-0.3854593117630196,-0.08872087714129319,-0.08904816583084134,-0.06933942478568511,-0.06953996542480355,-0.040812189182906924,,,,-0.03521158312669042,-0.0012182822401531693,-0.01913336875479016,0.06427848336849284,0.058960314273201364,0.0616957974789678,-0.02349568314058858
total_precipitation_mm_hourly,0.019813156616617346,-0.00458056139298301,-0.06232085421664616,-0.10415711034863827,0.10779822255223429,0.21900668799845577,-0.054909263060819447,0.014240330403516174,0.0357209587561763,1.0,-0.04450701701609747,0.06300197113692962,0.06311959271667056,0.05893840752796781,0.059032864972431556,0.0018184465303086271,,,,0.06613890239150877,-0.0014097853711405545,-0.012085756667588193,-0.024412296526081536,-0.01405653204750853,-0.01868876235717352,-0.005250841855285128
surface_solar_radiation_downwards_j_m2,0.3831202607397795,-0.04902608527687877,-0.11974765114655139,0.6365860396097346,0.5000229319172104,-0.5188652186613014,0.41681896199674817,-0.4241368118368581,-0.3854593117630196,-0.04450701701609747,1.0,-0.025046445755626506,-0.0251123657730847,-0.029095785147286127,-0.029154022787000196,-0.0011979312534338108,,,,-0.035222516858987495,0.00037349854245058255,0.0004605965339209766,0.016326308319183514,0.01327180907827617,0.01470101071757633,-0.0012187609617085148
aod_047_interp,0.0009774786953027318,0.006924746839459558,-0.0027464675959125925,-0.03265728352096775,0.099504801205272,0.10631021758049679,-0.0748209483604423,-0.04172329015545354,-0.08872087714129319,0.06300197113692962,-0.025046445755626506,1.0,0.9999820828146176,1.0,0.9999808735820482,-0.02681758454584935,,,,0.14393588293661672,-0.01641763456449613,-0.020472630236452134,-0.06137555684341568,-0.0480546159991377,-0.05421977331906497,-0.006958043630940635
