target,covariable,n_pares_validos,correlacion_pearson,abs_correlacion
no2_insitu,surface_solar_radiation_downwards_j_m2,26259,0.3831,0.3831
no2_insitu,surface_pressure_hpa,26259,-0.3438,0.3438
no2_insitu,wind_speed_10m,26259,0.1609,0.1609
no2_insitu,wind_direction_10m_deg,26259,-0.1519,0.1519
no2_insitu,temperature_2m_c,26259,0.1439,0.1439
no2_insitu,relative_humidity_pct,26259,-0.1347,0.1347
no2_insitu,dewpoint_2m_c,26259,0.0978,0.0978
no2_insitu,s2_vegetation_fraction,25195,-0.0425,0.0425
o3_insitu,relative_humidity_pct,191257,-0.2044,0.2044
o3_insitu,temperature_2m_c,191257,0.1293,0.1293
o3_insitu,surface_solar_radiation_downwards_j_m2,191257,-0.1197,0.1197
o3_insitu,surface_pressure_hpa,191257,0.1039,0.1039
o3_insitu,s2_ndbi,185541,-0.0829,0.0829
o3_insitu,s2_urban_index,185541,-0.0809,0.0809
o3_insitu,s2_bsi,185541,-0.0773,0.0773
o3_insitu,s2_ndvi,185541,0.0678,0.0678
so2_insitu,surface_pressure_hpa,132415,-0.1025,0.1025
so2_insitu,dewpoint_2m_c,132415,-0.0984,0.0984
so2_insitu,temperature_2m_c,132415,-0.0632,0.0632
so2_insitu,wind_direction_10m_deg,132415,0.0571,0.0571
so2_insitu,surface_solar_radiation_downwards_j_m2,132415,-0.049,0.049
so2_insitu,s2_ndbi,128832,0.0326,0.0326
so2_insitu,s2_urban_index,128832,0.0303,0.0303
so2_insitu,s2_bsi,128832,0.0269,0.0269
