nombre,ruta,existe,tipo,size_mb,size_gb
sentinel2_zarr_s3_cache,outputs/situacion3/rubrica/12_sentinel2_zarr_cache_cali_bbox,True,directorio,26201.461,26.201
sentinel2_pipeline_zarr,panel_zarr/sentinel2,True,directorio,15978.208,15.978
panel_final_model_safe,panel_tabular/panel_geovision_cali_station_hourly_2020_2024_model_safe.parquet,True,archivo,10.046,0.01
sentinel5p,data/sentinel2-sentinel-5p/parquet/sentinel5p_panel_cali_2020_2024.parquet,True,archivo,5.622,0.006
era5_land,data/era5_modis/era5_land_cali_hourly_2020_2024.parquet,True,archivo,3.1,0.003
dagma_largo,data/DAGMA/processed/panel_dagma_sisaire_largo_2020_2024.parquet,True,archivo,1.507,0.002
dagma_ancho,data/DAGMA/processed/panel_dagma_sisaire_ancho_2020_2024.parquet,True,archivo,1.642,0.002
sentinel2_raw_scene_manifest,data/sentinel2_pipeline_reproducibilidad/manifests_s2_12band_raw/scene_manifest.jsonl,True,archivo,0.746,0.001
modis_maiac,data/era5_modis/modis_maiac_aod_cali_daily_full_2020_2024.parquet,True,archivo,0.115,0.0
sentinel5p_coverage,data/sentinel2-sentinel-5p/csv/sentinel5p_daily_coverage.csv,True,archivo,0.103,0.0
sentinel2_coverage,data/sentinel2-sentinel-5p/csv/sentinel2_daily_coverage_corregido.csv,True,archivo,0.011,0.0
sentinel2_zarr_manifest,data/sentinel2_pipeline_reproducibilidad/manifests_s2_12band_zarr/scene_zarr_manifest.jsonl,True,archivo,0.083,0.0
manifest_panel,manifest/manifest_panel_geovision_cali_2020_2024.json,True,archivo,0.009,0.0
manifest_sentinel2,manifest/sentinel2/manifest_sentinel2_panel_cali_2020_2024.json,True,archivo,0.003,0.0
manifest_sentinel5p,manifest/sentinel5p/manifest_sentinel5p_panel_cali_2020_2024.json,True,archivo,0.002,0.0
manifest_dagma,manifest/dagma/manifest_dagma_sisaire_2020_2024.json,True,archivo,0.004,0.0
manifest_era5_modis,manifest/era5/manifest_era5_modis.json,True,archivo,0.004,0.0
