lval,op,rval,Estimate,Std. Err,z-value,p-value
Factor_1_score,~,Carga_Antropogenica,1.0,-,-,-
Factor_29_score,~,Carga_Antropogenica,-4.661302659125014,7.881306189755405,-0.5914378336402492,0.5542270969683665
Factor_6_score,~,Estres_Vegetal,1.0,-,-,-
Factor_27_score,~,Estres_Vegetal,0.3530427505308604,0.06002148791018575,5.881939332348116,4.0548697732845085e-09
Factor_2_score,~,Densidad_Urbana,1.0,-,-,-
Factor_5_score,~,Densidad_Urbana,1.1420706578528865,0.24795136902115264,4.606026828393317,4.104354605960481e-06
Factor_16_score,~,Volatilidad_Atmosferica,1.0,-,-,-
Factor_9_score,~,Volatilidad_Atmosferica,0.16831429799099973,0.07324839862420428,2.297856351129619,0.021569966276864028
Carga_Antropogenica,~~,Carga_Antropogenica,0.007999201777687074,0.12154441238678781,0.06581299477729669,0.9475267103314184
Carga_Antropogenica,~~,Volatilidad_Atmosferica,-0.04118410350312236,0.07992142052297974,-0.515307451157796,0.6063381929722467
Densidad_Urbana,~~,Densidad_Urbana,2.9193614416400795,1.0286048582817449,2.83817582440156,0.004537218183234382
Densidad_Urbana,~~,Carga_Antropogenica,-0.4256889992769085,0.7229589351688619,-0.5888149085215902,0.5559854437625171
Densidad_Urbana,~~,Estres_Vegetal,-0.7379479577036789,0.2936650324296928,-2.5128901170003632,0.011974662634941957
Densidad_Urbana,~~,Volatilidad_Atmosferica,-0.6962706682770236,0.3116505616625819,-2.234138981044508,0.025473929837867892
Estres_Vegetal,~~,Estres_Vegetal,2.328832191175634,0.5444683860252776,4.277258792144523,1.8920879646167066e-05
Estres_Vegetal,~~,Carga_Antropogenica,0.23634283558744923,0.4002482939976378,0.5904905508185717,0.5548618188895036
Estres_Vegetal,~~,Volatilidad_Atmosferica,-2.521604841149107,0.24978642363864276,-10.095043615288432,0.0
Volatilidad_Atmosferica,~~,Volatilidad_Atmosferica,9.638243424675569,4.020116230147674,2.3975036722555463,0.016507215508843043
Factor_16_score,~~,Factor_16_score,3.1980537823739696e-17,4.004681450770544,7.98578818736714e-18,1.0
Factor_1_score,~~,Factor_1_score,84.13271790568363,3.0742040600614406,27.367317283412476,0.0
Factor_27_score,~~,Factor_27_score,3.938073025258813,0.15649288440730663,25.164550069790778,0.0
Factor_29_score,~~,Factor_29_score,5.131009855743645,2.4823565425143297,2.066991492907977,0.038734955572462315
Factor_2_score,~~,Factor_2_score,47.03163052189023,1.9052096671373218,24.68580300273883,0.0
Factor_5_score,~~,Factor_5_score,16.425508396184167,1.2318614709502156,13.333892473721708,0.0
Factor_6_score,~~,Factor_6_score,7.056686387044875,0.5583786697022187,12.637815106360604,0.0
Factor_9_score,~~,Factor_9_score,6.860050691381124,0.27498779777125665,24.94674580819975,0.0
