,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39
emb_dim_0000,-0.12398107683750152,0.35134078842303995,0.4380601685874391,0.22494795836098333,0.33369581416153404,0.25425060536151717,-0.15388709862525976,0.07116255563698841,0.25393751788392616,0.08689990922197909,0.1445865811871222,-0.011633622000861725,0.004007536623276068,-0.05422597208305465,0.029728618319439733,-0.13229599967958044,-0.033150242355538075,-0.06208131379323545,0.10270807551719931,0.1527256306583249,-0.05682375401362567,-0.10785984016202065,0.0488658753109845,-0.1510265693348279,-0.04320368796854954,0.007490064154555427,-0.06412531199473259,0.03436833188165934,-0.012227431094576722,-0.06829125523778241,-0.014682466913110653,0.03481021462824925,0.04809325561216609,-0.0828377381396601,-0.008246484079149328,0.08601593691692452,-0.033165446932733836,-0.02597686512049148,-0.11159732839608172
emb_dim_0001,0.311408083698544,-0.41606443671994137,0.2874310657974444,-0.08178356312412091,-0.2277936172572926,-0.15088036132978727,0.18386186881485275,0.1057755395299687,-0.1449316001905423,-0.04218628819865894,-0.18838133411037922,0.05202494627366899,0.23024781532208188,0.05258124073086671,0.036573826877147435,0.15316942858565083,-0.011807624558357018,0.09389349760384558,-0.01558419286464911,-0.13683730695375762,-0.19565947874431824,0.06294781424892924,0.03672112895214907,0.10192126165894091,0.16557076623148886,-0.032999707800167935,-0.21413322067538845,0.040758121748746,-0.04024828467026995,0.021347096143327655,0.08198363589375286,0.1537438782972334,-0.018236397499747082,0.051764479331109274,0.08352666833997514,-0.0224477817389691,0.07134504675659824,0.003909108653636271,-0.07874971152726129
emb_dim_0002,-0.1111080625619019,0.06952727706451498,-0.29040379816796497,0.4248066698436277,0.017317130631135273,-0.1393447910144195,0.16430434697191473,-0.10214176057177597,-0.04537304943576564,-0.028357630309669594,-0.0639865365796199,0.12499117609069034,-0.03426034680610307,-0.05811925525407211,0.06290492800234121,-0.0674760710317307,0.20933722579788716,0.058921304506348186,0.059874965880943876,0.02466364080020337,-0.06535511688569803,-0.09256411350333638,-0.04809836698710102,0.0051777314383813795,-0.01927443550411155,0.021695005122119793,0.015840048378080517,-0.03060068567696505,0.3517508688295038,-7.001969511902944e-05,-0.1295564735125058,0.05235883640650999,0.11595523997182922,0.04572887952909141,0.14917540848400276,-0.05959592426318863,0.2564324798702238,0.13238700632958342,-0.10624422063403804
emb_dim_0003,0.19180266937902155,0.4988541222729046,0.17447463386284445,-0.06064725430632839,0.29429727069631073,-0.043373203142402575,-0.054407136560717974,-0.0010650554105041334,-0.042499055327738025,-0.08415398370774904,-0.06009084617390905,0.11749678065756307,-0.11110301508993888,-0.10342779308877939,0.08741680894635318,-0.07342994858604236,0.1768843705598846,-0.0976611796224519,-0.09738070208751042,0.1456043598325792,0.03848219018641832,0.03198261768279692,0.16206658605846627,0.1815661449439813,0.0066987404477694785,0.04620003110729026,-0.06047803869405783,-0.24441460836153822,-0.10345747958461046,0.09804429295330302,0.1852479449702103,0.14215469844331038,0.15522263863207836,0.08141775923290771,0.017295573256113132,0.007734778737865234,0.12732697658211692,0.0635352296942724,0.020172520266649528
emb_dim_0004,0.11169422830203732,-0.30449579931617393,0.08598938660888829,0.4105584431440295,-0.06075739311649296,0.07173845754560039,-0.13460882683068026,0.14670656086141357,0.08827350570894257,0.06555329169405301,0.1899162943257378,0.009127066371750881,0.09475835594423306,-0.04075758278214434,0.16935509933443815,0.051712107434569686,-0.033696430281435284,-0.03825867753833727,-0.0672626104017932,0.10446821282292817,0.025862731187016246,-0.22755115096496314,-0.03533829853394391,0.14048745608558139,-0.1547620448866257,0.18558015816166057,0.11331662153421594,-0.1453749294601279,-0.16363560095711632,-0.0479641085986244,-0.17092124076853363,-0.02810836600185991,0.030547341777123704,0.0076543763796708,-0.006047290778406312,-0.08510902445609744,-0.06828388469162579,-0.07235916163525419,0.21193873900703297
emb_dim_0005,0.23935423698353736,-0.08175170791178052,0.2917098205799015,0.05607389578549743,-0.2535950796318984,-0.10515580868965521,-0.10594085139773164,-0.04959467400817133,0.0372547193495603,0.13334483727195043,0.16178842819107292,-0.10937675140540615,-0.12043030683608208,-0.16305949180981177,0.049206175263823086,0.1618936982468534,0.11166622863343573,0.09845381173918388,-0.26209885501425134,-0.08895532477863004,-0.041613434142970265,0.33440375304507,0.05670654182325605,0.07863419336429034,-0.05013401942846753,0.07934532669191148,0.07666572651419533,-0.038287732093700545,-0.011957501670945041,0.0019660090235694727,-0.3728936677909658,0.05100840509039053,-0.06855073076576843,0.003582939975552901,0.04119953929834761,-0.01877047189818605,0.027815318306969084,0.010968837682975496,0.23455904258939986
emb_dim_0006,-0.4302835794992213,-0.37523733459738334,0.26898305845521503,0.4283662693130589,-0.09218433324199533,0.104464487324309,-0.007131546146530524,0.010228847142611349,0.04614624041899642,-0.045285473609841156,0.05641626752414548,-0.06743062483039981,-0.0059232435794849695,0.06453245595610266,0.07039244556114915,-0.146521608186893,0.014779613418948645,-0.07819470496860367,0.13363435482335922,0.019720925950720086,-0.029497634010742162,0.017379505886076833,0.043507959097950515,0.12956111642306153,-0.04776093603121585,-0.11269527204710068,-0.08839617061050206,0.10626112849893335,-0.17137663975156903,-0.07985676018330701,-0.05844507019361086,-0.154686312413502,0.02601526332989246,0.11338894778414917,-0.03332452935444619,0.016900104296612938,0.03769140490112259,-0.027880897140971108,0.16387032132124466
emb_dim_0007,0.7578453083368298,-0.006199462570563252,0.21806193338063218,0.3314450287892408,-0.007217729285800577,-0.14270998148964553,-0.1190515776528509,0.011823572586302067,0.032561283735616814,0.08134245107127473,-0.10799981290650987,-0.06269958303317738,-0.05168504594047665,-0.002526865186196602,-0.09345198099809696,-0.022605053500809786,0.031486503614671375,-0.15565571190081068,0.03282712336201972,0.09629298569632533,-0.15279826404570288,0.010142851303939916,0.014440003928803886,-0.13154272282536078,0.022254595509556867,0.01471471746828706,0.03246477403772745,0.05097321853857592,-0.057475916704315386,-0.0628544886843371,0.03073568912393729,0.09894626145559582,-0.09004772611771768,-0.12285818498646786,0.0498059296530525,0.04997948556189185,-0.05879710851040915,0.040040873087102025,-0.0071109740945556575
emb_dim_0008,0.5138226181955142,0.2823838018976548,-0.30214624816098307,-0.11707436052244698,-0.2012036401108336,0.1622009446138281,-0.013031271157421025,0.025679837751468478,-0.24041022225829714,0.03260084602187668,-0.058024912632782984,0.2061869483091315,0.06950959054273267,-0.01936853748387167,-0.14950796794018228,-0.20024542457175537,0.01591610267017397,0.015232592402502177,0.10317385324686024,0.003781147453562642,0.03092707195899218,-0.04518751161722766,-0.1179149224020553,-0.0846164300760436,-0.022977830597319678,-0.029760678376998285,-0.1525977355832696,0.12740031086114395,0.06484766344927409,0.06802628563216487,-0.09274733940518896,-0.06823679867611522,0.07391527535260357,0.016546280037284977,-0.09530444341900378,0.08023527924457087,0.05361357372672848,0.13567839484682895,-0.04590563810464615
emb_dim_0009,-0.011611848313593404,-0.09743492987285093,-0.684883200911536,0.06986121502120926,-0.09441813064993602,-0.13989644950437385,0.016395678656844728,0.23569177482748116,-0.10025159853479487,0.015283390988278966,0.09232995439010871,-0.12971675671870317,0.08542169139549444,-0.07201726044230287,-0.0620596258343432,0.1229277643872746,-0.07925377352731637,-0.015918630469584038,0.022386448167499868,-0.07142309490124674,-0.1887659491133804,0.015389718877585088,0.006018462312778484,-0.10506972221998653,-0.019963668794170455,0.009252397964697468,-0.0168536034348381,-0.01255699264417526,0.11824111767309226,0.07882139573043356,-0.026186081320291158,0.18691822874854327,-0.0028360898523535415,0.003616724743432893,0.060451127186776685,0.08372593413241568,-0.10712993451043318,-0.01915208263841405,-0.059667903490776636
