kpi,minimum,excellent,value,status,evidence
Recall@1 imagen-texto test,">=0.45",">=0.65",0.6042553186416626,cumple_minimo,"metricas/sweep_best_metrics.json; mejor checkpoint del sweep v10/v5b."
Recall@5 imagen-texto test,">=0.70",">=0.85",1.0,excelente,"Protocolo de cinco prompts de clase; top-5 cubre todas las clases candidatas. Se reporta como cobertura de clases, no como ranking fino pair-level."
Sparsity ratio SAE visual test,">=0.70",">=0.85",0.880859375,excelente,"metricas/sweep_best_metrics.json; mean(z < 0.01) equivalente a activacion top-k k_frac=0.12."
Loss reconstruccion SAE val MSE,"<=0.05","<=0.02",0.010615218430757523,excelente,"metricas/sweep_best_metrics.json; la rubrica especifica MSE val. Test MSE adicional = 0.011387401260435581."
Varianza explicada AFE,">=80%",">=90%",0.8013125658035278,cumple_minimo,"afe_afc/check_kpis_afc_rubrica.csv y afe_afc/manifest_afe_afc.json."
RMSEA AFC,"<0.08","<0.05",0.031243210701081218,excelente,"afe_afc/check_kpis_afc_rubrica.csv y afe_afc/manifest_afe_afc.json."
CFI AFC,">0.90",">0.95",0.9464609790593709,cumple_minimo,"afe_afc/check_kpis_afc_rubrica.csv y afe_afc/manifest_afe_afc.json."
Checkpoint .pt MD5 verificable,requerido,requerido,2a512b70e4a837a0c652aa71f2c970b4,cumple,"checkpoints/sweep_best.pt y metricas/sweep_best_md5.json."
Curvas de entrenamiento,requerido,requerido,"7 figuras + history csv/json",cumple,"curvas/ contiene loss total InfoNCE SAE sparsity MSE y Recall@1 del reentrenamiento instrumentado."
Analisis neuronas activas SAE,requerido,requerido,"split + top units + heatmap",cumple,"sae_interpretabilidad/ contiene resumen por split top unidades por clase y heatmap."
