split,pair_id,candidate_class,pred_class,correct,active_units_count,top_units,top_values
train,v5bpair_00000,suelo_urbano,suelo_urbano,True,122,"568,3,26,899,4,411,350,288,379,140,5,375","0.579369,0.552085,0.528016,0.523801,0.503936,0.447698,0.435531,0.424782,0.418298,0.414911,0.405107,0.401368"
train,v5bpair_00001,vegetacion_densa,vegetacion_densa,True,122,"269,519,981,961,879,279,270,477,275,822,219,674","0.281131,0.268369,0.262030,0.257718,0.234689,0.222791,0.217142,0.214156,0.210348,0.206910,0.206483,0.204370"
train,v5bpair_00002,contaminacion_alta_SO2,contaminacion_alta_SO2,True,122,"711,1,476,692,758,1019,422,191,386,432,510,49","0.321720,0.312698,0.270380,0.257433,0.242355,0.234107,0.228245,0.222424,0.222033,0.220710,0.217873,0.214063"
train,v5bpair_00003,contaminacion_alta_SO2,contaminacion_alta_SO2,True,122,"998,49,904,496,945,721,903,1003,772,437,593,248","0.358043,0.344344,0.334002,0.254524,0.247430,0.235531,0.234686,0.231957,0.230351,0.229565,0.226836,0.224233"
train,v5bpair_00006,suelo_urbano,suelo_urbano,True,122,"350,4,541,5,3,745,669,899,562,317,703,411","0.337683,0.295815,0.266034,0.260103,0.256760,0.255621,0.225952,0.220480,0.219037,0.216848,0.215728,0.212912"
train,v5bpair_00007,ozono_anomalo,ozono_anomalo,True,122,"251,218,836,323,350,541,377,745,262,926,270,477","0.332408,0.306394,0.278885,0.277195,0.248235,0.236462,0.215660,0.213068,0.212995,0.205549,0.204170,0.202794"
train,v5bpair_00010,ozono_anomalo,ozono_anomalo,True,122,"541,606,182,669,270,5,388,652,1014,293,1000,402","0.341875,0.319519,0.298223,0.293009,0.267780,0.258517,0.249830,0.246705,0.231987,0.225418,0.224450,0.221252"
train,v5bpair_00012,ozono_anomalo,ozono_anomalo,True,122,"1,323,519,270,432,660,691,218,566,762,531,222","0.349529,0.304195,0.296226,0.292080,0.272552,0.247305,0.246934,0.227595,0.225444,0.223354,0.219003,0.214232"
train,v5bpair_00013,vegetacion_densa,vegetacion_densa,True,122,"524,721,897,275,848,346,952,269,98,606,463,660","0.258620,0.253327,0.252061,0.239316,0.227489,0.224667,0.222798,0.217565,0.212902,0.202501,0.199442,0.198566"
train,v5bpair_00014,contaminacion_alta_NO2,contaminacion_alta_NO2,True,122,"127,699,201,80,198,367,285,903,603,612,541,974","0.249552,0.230955,0.216975,0.209713,0.202686,0.194733,0.190648,0.187743,0.183504,0.180355,0.179364,0.174822"
train,v5bpair_00015,vegetacion_densa,vegetacion_densa,True,122,"674,961,127,568,998,524,374,229,375,915,275,612","0.340179,0.315024,0.306443,0.301437,0.263081,0.254364,0.250226,0.240767,0.235090,0.224564,0.221864,0.219037"
train,v5bpair_00017,ozono_anomalo,ozono_anomalo,True,122,"669,566,660,605,29,269,830,624,546,182,980,905","0.276371,0.275496,0.269584,0.247346,0.228371,0.227521,0.222460,0.214706,0.210606,0.209619,0.208861,0.207910"
train,v5bpair_00018,contaminacion_alta_SO2,contaminacion_alta_SO2,True,122,"711,1,692,661,603,758,809,1019,566,757,422,909","0.349743,0.281590,0.239621,0.224327,0.221677,0.214743,0.214546,0.198003,0.181085,0.177912,0.177462,0.174910"
train,v5bpair_00019,contaminacion_alta_NO2,contaminacion_alta_NO2,True,122,"262,350,442,367,834,576,228,618,745,571,1006,929","0.202875,0.202049,0.197602,0.196485,0.190093,0.184290,0.177054,0.175008,0.173626,0.169081,0.160088,0.159738"
