pollutant,horizon_days,grid_id,lat,lon,prediction_corrected,kriging_variance,local_i,p_sim,quadrant,significant,lisa_cluster
NO2,1,g_001_000,3.3075,-76.5975,11.768237590789797,59.08142852783203,-0.2596355230503423,0.279,4,False,not_significant
NO2,1,g_001_001,3.3075,-76.5925,10.478307247161863,57.699745178222656,-0.012810119898621065,0.435,4,False,not_significant
NO2,1,g_001_002,3.3075,-76.58749999999999,9.669003009796144,56.387508392333984,0.10368289619501496,0.146,3,False,not_significant
NO2,1,g_001_003,3.3075,-76.5825,9.303706645965576,55.15151596069336,0.36807912929729897,0.028,3,True,low_low
NO2,1,g_001_004,3.3075,-76.5775,9.235032558441162,53.99905776977539,0.47966324879637084,0.015,3,True,low_low
NO2,1,g_001_005,3.3075,-76.57249999999999,9.302024841308594,52.937801361083984,0.46566470425843376,0.014,3,True,low_low
NO2,1,g_001_006,3.3075,-76.5675,9.326197624206545,51.97568893432617,0.4703699522898865,0.011,3,True,low_low
NO2,1,g_001_007,3.3075,-76.5625,9.218111991882324,51.12075805664063,0.5786847811420587,0.008,3,True,low_low
NO2,1,g_001_008,3.3075,-76.55749999999999,9.047892570495604,50.38090515136719,0.76763316905726,0.003,3,True,low_low
NO2,1,g_001_009,3.3075,-76.5525,8.902802467346191,49.76362228393555,0.9588151033851188,0.003,3,True,low_low
NO2,1,g_001_010,3.3075,-76.5475,8.781537055969238,49.275665283203125,1.097366879677297,0.002,3,True,low_low
NO2,1,g_001_011,3.3075,-76.54249999999999,8.798047065734863,48.9227294921875,1.054892341904265,0.003,3,True,low_low
NO2,1,g_001_012,3.3075,-76.5375,8.982101440429688,48.70915222167969,0.8282967787228147,0.003,3,True,low_low
NO2,1,g_001_013,3.3075,-76.5325,9.275445938110352,48.63765335083008,0.5265554529657072,0.009,3,True,low_low
NO2,1,g_001_014,3.3075,-76.5275,9.553606986999512,48.70915222167969,0.2774413689817826,0.018,3,True,low_low
NO2,1,g_001_015,3.3075,-76.5225,9.81059741973877,48.9227294921875,0.10136427718235803,0.054,3,False,not_significant
NO2,1,g_001_016,3.3075,-76.5175,10.194920539855955,49.275665283203125,-0.02722927847529006,0.185,4,False,not_significant
NO2,1,g_001_017,3.3075,-76.5125,10.695235252380373,49.76362228393555,-0.023839024559817457,0.428,4,False,not_significant
NO2,1,g_001_018,3.3075,-76.5075,11.166460037231444,50.38090515136719,0.14555971410148047,0.306,1,False,not_significant
NO2,1,g_001_019,3.3075,-76.5025,11.407395362854004,51.12075805664063,0.30897720653173205,0.184,1,False,not_significant
NO2,1,g_001_020,3.3075,-76.4975,11.359018325805664,51.97568893432617,0.2920229747741853,0.187,1,False,not_significant
NO2,1,g_001_021,3.3075,-76.49249999999999,11.080814361572266,52.937801361083984,0.17193472968811285,0.253,1,False,not_significant
NO2,1,g_001_022,3.3075,-76.4875,10.81948709487915,53.99905776977539,0.10274090648189696,0.297,1,False,not_significant
NO2,1,g_001_023,3.3075,-76.4825,10.846989154815674,55.15151596069336,0.12603305120989666,0.265,1,False,not_significant
NO2,1,g_001_024,3.3075,-76.47749999999999,11.06909990310669,56.387508392333984,0.2638794755013503,0.143,1,False,not_significant
NO2,1,g_001_025,3.3075,-76.4725,11.346039295196531,57.699745178222656,0.5243016899075568,0.047,1,True,high_high
NO2,1,g_001_026,3.3075,-76.4675,11.61470651626587,59.08142852783203,0.8333152363735403,0.015,1,True,high_high
