tensor_index,sample_id,start_date,end_date,input_coverage,n_input_present,n_input_possible,n_targets
0,seq_2020-01-02_2020-02-11,2020-01-02,2020-02-11,0.5844649646931016,8608,14728,13
1,seq_2020-01-07_2020-02-16,2020-01-07,2020-02-16,0.6217409016838674,9157,14728,12
2,seq_2020-01-12_2020-03-02,2020-01-12,2020-03-02,0.5750271591526345,8469,14728,14
3,seq_2020-01-17_2020-03-22,2020-01-17,2020-03-22,0.648696360673547,9554,14728,12
4,seq_2020-01-27_2020-04-26,2020-01-27,2020-04-26,0.5958718087995655,8776,14728,17
5,seq_2020-02-01_2020-05-21,2020-02-01,2020-05-21,0.5898967952199892,8688,14728,14
6,seq_2020-02-06_2020-06-15,2020-02-06,2020-06-15,0.5609722976643129,8262,14728,21
7,seq_2020-02-11_2020-07-15,2020-02-11,2020-07-15,0.5105920695274307,7520,14728,21
8,seq_2020-02-16_2020-08-09,2020-02-16,2020-08-09,0.5406029331884845,7962,14728,18
9,seq_2020-03-02_2020-08-24,2020-03-02,2020-08-24,0.5156165127648017,7594,14728,25
10,seq_2020-03-22_2020-09-03,2020-03-22,2020-09-03,0.5923411189570885,8724,14728,24
11,seq_2020-04-26_2020-09-13,2020-04-26,2020-09-13,0.5259369907658881,7746,14728,26
12,seq_2020-05-21_2020-09-28,2020-05-21,2020-09-28,0.552417164584465,8136,14728,19
13,seq_2020-06-15_2020-10-08,2020-06-15,2020-10-08,0.5836501901140685,8596,14728,18
14,seq_2020-07-15_2020-10-18,2020-07-15,2020-10-18,0.634369907658881,9343,14728,15
15,seq_2020-08-09_2020-10-23,2020-08-09,2020-10-23,0.6240494296577946,9191,14728,15
16,seq_2020-08-24_2020-11-07,2020-08-24,2020-11-07,0.5132400869092885,7559,14728,20
17,seq_2020-09-03_2021-01-16,2020-09-03,2021-01-16,0.5281097229766432,7778,14728,16
18,seq_2020-09-13_2021-01-31,2020-09-13,2021-01-31,0.4814638783269962,7091,14728,21
19,seq_2020-09-28_2021-02-20,2020-09-28,2021-02-20,0.4523356871265616,6662,14728,18
20,seq_2020-10-08_2021-05-01,2020-10-08,2021-05-01,0.4733161325366649,6971,14728,12
21,seq_2020-10-18_2021-05-21,2020-10-18,2021-05-21,0.495722433460076,7301,14728,12
22,seq_2020-10-23_2021-07-05,2020-10-23,2021-07-05,0.499321021184139,7354,14728,15
23,seq_2020-11-07_2021-07-15,2020-11-07,2021-07-15,0.53442422596415,7871,14728,17
24,seq_2021-01-16_2021-07-20,2021-01-16,2021-07-20,0.6475420966865834,9537,14728,14
25,seq_2021-01-31_2021-07-30,2021-01-31,2021-07-30,0.584736556219446,8612,14728,15
26,seq_2021-02-20_2021-08-04,2021-02-20,2021-08-04,0.5297392721347094,7802,14728,15
27,seq_2021-05-01_2021-09-03,2021-05-01,2021-09-03,0.5848044541010321,8613,14728,18
28,seq_2021-05-21_2021-09-13,2021-05-21,2021-09-13,0.5193508962520369,7649,14728,21
29,seq_2021-07-05_2021-09-18,2021-07-05,2021-09-18,0.446835958718088,6581,14728,22
