pollutant,station,lat,lon,n_records
NO2,Univalle,3.377911,-76.533811,26259
O3,Base Aerea,3.457128,-76.502303,29093
O3,Compartir,3.42826,-76.466584,35056
O3,ERA - Obrero,3.457317,-76.506539,26535
O3,Flora,3.488218,-76.518058,24327
O3,Pance,3.304517,-76.531252,36340
O3,TRANSITORIA-NAVARRO,3.417183,-76.49496,5940
O3,Univalle,3.377911,-76.533811,33966
SO2,Base Aerea,3.457128,-76.502303,23067
SO2,Canaveralejo,3.416366,-76.549613,32923
SO2,Ermita,3.455514,-76.530978,36920
SO2,Flora,3.488218,-76.518058,24391
SO2,TRANSITORIA-NAVARRO,3.417183,-76.49496,15114
