pollutant,horizon_days,left_out_station,status,n_train,n_test,base_rmse,base_mae,base_r2,base_n,corrected_rmse,corrected_mae,corrected_r2,corrected_n,coverage_95_sigma_kriging
SO2,1,Base Aerea,ok,320,83,4.690131577539666,2.9360554620444055,-0.06452395512024611,83,4.584534159791299,3.0426377857577935,-0.0171284724731946,83,0.927710843373494
SO2,1,Canaveralejo,ok,308,95,1.3762681812476856,1.1375419998639509,0.32267392309328435,95,1.5624215750888353,1.218618195816128,0.12705252648965548,95,1.0
SO2,1,Ermita,ok,299,104,2.6204883138843513,1.7925405009434774,0.3461707954970141,104,2.838781350816684,2.0054020559486174,0.23270256279004153,104,0.9807692307692307
SO2,1,Flora,ok,328,75,6.081418564845727,4.162749638110399,0.8778303170965958,75,6.20326154219007,4.241103199807341,0.8728858668598465,75,0.8266666666666667
SO2,1,Transitoria Navarro,ok,357,46,3.388517566678904,2.22553634206238,-0.06622163313058071,46,3.130284313963111,2.216295468566703,0.0900959943355234,46,0.9782608695652174
SO2,3,Base Aerea,ok,318,85,4.023606905774108,2.946445493772626,-0.3418040446550543,85,3.7393658815281063,2.8892652615957912,-0.15892125820083525,85,0.8823529411764706
SO2,3,Canaveralejo,ok,308,95,1.7168024453925697,1.2691720749006459,0.12650174757138333,95,1.769076127171346,1.3266319520294563,0.07249889033637424,95,1.0
SO2,3,Ermita,ok,301,102,3.5100868810787396,2.192820623224857,0.2596039231941458,102,3.7681794784700973,2.4535210281735638,0.14672005837062552,102,0.9509803921568627
SO2,3,Flora,ok,327,76,5.684107114230597,3.7824501090339924,0.8911418712229882,76,5.556742244094636,3.7044876870662535,0.8959656251239081,76,0.8157894736842105
SO2,3,Transitoria Navarro,ok,358,45,3.62845366474479,2.1281350864304436,-0.14977574526252524,45,3.3590699810493088,2.649101320142187,0.014610152487681383,45,0.9777777777777777
SO2,7,Base Aerea,ok,327,84,4.47498013470865,3.0509707303274247,-0.0793308238025403,84,4.303417728737039,3.0398704120916213,0.0018418300603043614,84,0.9166666666666666
SO2,7,Canaveralejo,ok,313,98,1.6680748059011454,1.3269574153332078,0.07250827113745628,98,1.627570452268479,1.3240155612460047,0.11700429084131558,98,1.0
SO2,7,Ermita,ok,305,106,2.6708108362273966,1.9710589979054793,0.11261096777851298,106,2.8263513756785668,2.0983951422003075,0.006243223148449606,106,0.9716981132075472
SO2,7,Flora,ok,335,76,5.934562845754477,3.6855947248343575,0.8937323604726352,76,6.012954405330154,3.7399911799932197,0.8909063710090426,76,0.8421052631578947
SO2,7,Transitoria Navarro,ok,364,47,4.104153670629689,2.5016187163109476,-0.1263494859901686,47,3.78146201683013,2.520619327175666,0.04380730180274339,47,0.9574468085106383
O3,1,Base Aerea,ok,387,94,6.170680499692365,4.944350275587528,0.16323383241762857,94,6.11879844644861,4.9003292708300705,0.17724546099228244,94,1.0
O3,1,Compartir,ok,375,106,7.68156984839348,5.930090152992393,0.3044904514018857,106,7.577501741383973,5.800101435032569,0.32320799676354384,106,0.9622641509433962
O3,1,Era Obrero,ok,398,83,7.226237448154943,5.886245405817607,0.12155630936076545,83,7.2194538682174185,5.897283223957141,0.12320480100175246,83,1.0
O3,1,Flora,ok,399,82,8.342187955099677,6.390489206081483,0.041356083570460944,82,8.211786996322791,6.163068352682248,0.07109194044421774,82,0.9634146341463414
O3,1,Transitoria Navarro,ok,465,16,6.972889365607141,4.7581652104854575,0.04424042101582326,16,7.223011831887735,4.849975680996927,-0.025556904311108797,16,0.9375
O3,1,Univalle,ok,381,100,12.147482550112304,9.428857226371765,0.06567199952201352,100,12.07564396173293,9.362208487425796,0.07669030436458091,100,0.79
O3,3,Base Aerea,ok,387,92,6.687359348093632,5.227936602157095,0.14565010463729677,92,6.387971564457949,4.9958729902110415,0.22043488336434114,92,0.9782608695652174
O3,3,Compartir,ok,373,106,6.669742607248092,5.409931110885908,0.3117452662365757,106,6.465147789479108,5.145855766598778,0.3533221696714959,106,0.9716981132075472
O3,3,Era Obrero,ok,396,83,7.3839417601626245,5.588560376540724,0.29938075900128114,83,7.707068218286422,5.946555212120946,0.23671989751924316,83,0.9036144578313253
O3,3,Flora,ok,397,82,7.594792058861213,6.084569817636071,0.1100508585009008,82,7.44609453847284,5.939829717690741,0.14455812647955457,82,0.9390243902439024
O3,3,Transitoria Navarro,ok,464,15,7.838704930041544,5.954403241475423,-1.9202546501205853,15,6.417372751927423,5.095748623538444,-0.95725144585705,15,0.9333333333333333
O3,3,Univalle,ok,378,101,8.936421235993405,7.232693672180176,0.27221006865628017,101,8.66444756908872,6.921240069546963,0.3158355007631858,101,0.900990099009901
O3,7,Base Aerea,ok,382,92,6.3861256247929035,5.164262994475987,0.20579036165562103,92,6.3290208800883345,5.048560759005941,0.21993050463939046,92,0.9782608695652174
O3,7,Compartir,ok,370,104,6.6221634451746905,5.246376386055579,0.3875508136434077,104,6.55116592284685,5.086538266439395,0.4006127936373075,104,0.9807692307692307
O3,7,Era Obrero,ok,391,83,6.886415232645873,5.608120412711638,0.1373372795007276,83,6.932612783679591,5.612988437367088,0.1257241018427664,83,0.9518072289156626
O3,7,Flora,ok,395,79,7.312132953908759,5.913111294372173,0.08719235812846238,79,7.139550841787506,5.741775984142444,0.12977232691644025,79,0.9746835443037974
O3,7,Transitoria Navarro,ok,459,15,8.307921989443741,7.269285011291504,-0.10613110654137503,15,8.202720510437315,6.931826897619144,-0.07829505671126613,15,0.9333333333333333
O3,7,Univalle,ok,373,101,11.01640231518104,8.969095961882337,0.1499693656004819,101,11.01872614164115,8.949800623985038,0.1496107127547759,101,0.8217821782178217
